icao,cluster
00AA,DENVER_CLUSTER
00AK,OTHER_CLUSTER
00AL,ATLANTA_CLUSTER
00AN,OTHER_CLUSTER
00AS,DALLAS_CLUSTER
00AZ,PHOENIX_CLUSTER
00CA,LAS_VEGAS_CLUSTER
00CL,SAN_FRANCISCO_CLUSTER
00CN,SAN_DIEGO_CLUSTER
00FA,ORLANDO_CLUSTER
00FL,ORLANDO_CLUSTER
00GA,ATLANTA_CLUSTER
00GE,ATLANTA_CLUSTER
00HI,HONOLULU_CLUSTER
00ID,SEATTLE_CLUSTER
00IG,DENVER_CLUSTER
00IL,CHICAGO_CLUSTER
00IN,CHICAGO_CLUSTER
00IS,CHICAGO_CLUSTER
00KS,OTHER_CLUSTER
00KY,ATLANTA_CLUSTER
00LA,HOUSTON_CLUSTER
00LL,CHICAGO_CLUSTER
00LS,HOUSTON_CLUSTER
00MD,WASHINGTON_DC_CLUSTER
00MI,CHICAGO_CLUSTER
00MN,OTHER_CLUSTER
00MO,OTHER_CLUSTER
00MT,JACKSON_HOLE_CLUSTER
00NC,WASHINGTON_DC_CLUSTER
00NJ,NEW_YORK_CLUSTER
00NK,BOSTON_CLUSTER
00NR,WASHINGTON_DC_CLUSTER
00NY,NEW_YORK_CLUSTER
00OI,CHICAGO_CLUSTER
00OK,DALLAS_CLUSTER
00OR,SEATTLE_CLUSTER
00PA,WASHINGTON_DC_CLUSTER
00PN,WASHINGTON_DC_CLUSTER
00SC,ATLANTA_CLUSTER
00SD,OTHER_CLUSTER
00TE,DALLAS_CLUSTER
00TS,DALLAS_CLUSTER
00TT,DALLAS_CLUSTER
00VA,WASHINGTON_DC_CLUSTER
00VI,WASHINGTON_DC_CLUSTER
00WA,SEATTLE_CLUSTER
00WI,CHICAGO_CLUSTER
00WN,SEATTLE_CLUSTER
00WV,WASHINGTON_DC_CLUSTER
00WY,VAIL_CLUSTER
00XA,HOUSTON_CLUSTER
01AK,OTHER_CLUSTER
01AL,ATLANTA_CLUSTER
01AN,OTHER_CLUSTER
01AR,DALLAS_CLUSTER
01AZ,PHOENIX_CLUSTER
01CA,LOS_ANGELES_CLUSTER
01CL,SAN_FRANCISCO_CLUSTER
01CO,VAIL_CLUSTER
01CT,NEW_YORK_CLUSTER
01FA,ORLANDO_CLUSTER
01FD,ORLANDO_CLUSTER
01FL,ORLANDO_CLUSTER
01GA,ATLANTA_CLUSTER
01GE,ATLANTA_CLUSTER
01ID,JACKSON_HOLE_CLUSTER
01II,CHICAGO_CLUSTER
01IL,CHICAGO_CLUSTER
01IN,CHICAGO_CLUSTER
01IS,CHICAGO_CLUSTER
01KS,OTHER_CLUSTER
01KY,OTHER_CLUSTER
01LA,HOUSTON_CLUSTER
01LL,CHICAGO_CLUSTER
01LS,HOUSTON_CLUSTER
01MA,BOSTON_CLUSTER
01MD,WASHINGTON_DC_CLUSTER
01ME,OTHER_CLUSTER
01MI,CHICAGO_CLUSTER
01MN,OTHER_CLUSTER
