icao_id,faa_id,name,lat,lon,elevation_m,state,country,market_group,has_metar,has_taf
ABANG,,Alexandria Bay,44.55,-75.93,76.0,NY,US,NY,False,False
K00U,00U,Hardin/Big Horn Cnty,45.74529,-107.66064,922.0,MT,US,MT,True,False
K01G,01G,Perry,42.741453,-78.052646,1559.0,NY,US,NY,False,False
K01M,,Tishomingo Cnty,34.494,-88.203,175.0,MS,US,MS,True,False
K01R,,Alexandria/Clai,31.13,-92.57,67.0,LA,US,LA,False,False
K01T,,High Island,28.13,-94.4,30.0,LA,US,LA,False,False
K03Y,,Hallock,48.78,-96.95,250.0,MN,US,MN,False,False
K04V,04V,Saguache Muni,38.099,-106.17,2389.0,CO,US,CO,True,False
K04W,04W,Hinckley/Field of Dreams Arpt,46.02436,-92.89906,310.0,MN,US,MN,True,False
K05U,05U,Eureka Arpt,39.60151,-116.0056,1813.0,NV,US,NV,True,False
K06C,06C,Schaumburg Rgnl,41.99236,-88.1091,243.0,IL,US,IL,True,False
K06D,06D,Rolla Muni,48.88206,-99.62169,554.0,ND,US,ND,True,False
K06U,06U,Jackpot,41.97600173949999,-114.657997131,5213.0,NV,US,NV,False,False
K07F,07F,Key Largo,32.528801,-94.971702,296.0,TX,US,TX,False,False
K08D,08D,Stanley Muni,48.30184,-102.40422,683.0,ND,US,ND,True,False
K0A0,0A0,Spaceport America,32.99,-106.9674,1401.0,NM,US,NM,True,False
K0A9,0A9,Elizabethton Muni,36.37111,-82.17681,479.0,TN,US,TN,True,False
K0B1,0B1,Bethel,44.425201,-70.809896,654.0,ME,US,ME,False,False
K0CO,0CO,Berthoud Pass,39.794,-105.764,3804.0,CO,US,CO,True,False
K0D8,0D8,Gettysburg Muni,44.989,-99.954,628.0,SD,US,SD,False,False
K0E0,0E0,Moriarty Muni,34.98372,-105.99577,1887.0,NM,US,NM,True,False
K0E4,,Payson,34.23,-111.33,1498.0,AZ,US,AZ,False,False
K0F2,0F2,Bowie Muni,33.6011,-97.77354,330.0,TX,US,TX,True,False
K0G7,0G7,Seneca Fal,42.883598,-76.782246,492.0,NY,US,NY,False,False
K0J4,0J4,Florala Muni,31.04473,-86.31193,96.0,AL,US,AL,True,False
K0J6,,Headland Muni,31.36512,-85.3112,109.0,AL,US,AL,True,False
K0R0,0R0,Columbia/Marion Cnty,31.29695,-89.81595,76.0,MS,US,MS,True,False
K0R4,0R4,Vidalia/Concordia Arpt,31.56375,-91.50982,16.0,LA,US,LA,True,False
K0S9,0S9,Port Townsend/Jefferson Cnty,48.05537,-122.8115,33.0,WA,US,WA,True,False
K0V1,,Custer ,43.73,-103.62,1707.0,SD,US,SD,False,False
K0V4,0V4,Brookneal/Campbell Cnty,37.13991,-79.01711,186.0,VA,US,VA,True,False
K0V7,0V7,Kayenta Arpt,36.71451,-110.22967,1743.0,AZ,US,AZ,False,False
K0VG,0VG,Jonesville/Lee Cnty,36.65764,-83.21467,426.0,VA,US,VA,True,False
K0W3,0W3,Churchville/Hartford Cnty,39.566,-76.202,125.0,MD,US,MD,True,False
K0W8,,Chincoteague,37.93,-75.38,2.0,VA,US,VA,False,False
K0Y2,,Sturgeon Bay,44.78,-87.32,176.0,WI,US,WI,False,False
K0Y7,,Lamoni Muni,40.63,-93.9,345.0,IA,US,IA,False,False
K10G,10G,Millersburg/Holmes Cnty,40.5357,-81.95307,371.0,OH,US,OH,True,False
K10U,10U,Owyhee Arpt,41.953,-116.182,1638.0,NV,US,NV,True,False
K11A,11A,Clayton Muni,31.88145,-85.48037,132.0,AL,US,AL,False,False
K11R,11R,Brenham Muni,30.22316,-96.37342,87.0,TX,US,TX,True,False
K12J,12J,Brewton,31.0506,-87.065598,99.0,AL,US,AL,False,False
