corridor,segment,TOD,DOW,Month,TI_score,SI_multiplier,LI_multiplier,CTS_score,CTS_toggle_%
Charlotte->South Florida,Light Jet,00:00-06:59,Monday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Monday,Apr,3,1.0,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Monday,Apr,10,1.0,1.1,11.0,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Monday,Apr,8,1.0,1.1,8.8,30.0
Charlotte->South Florida,Light Jet,16:00-18:59,Monday,Apr,4,1.0,1.1,4.4,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Monday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Tuesday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Tuesday,Apr,2,1.0,1.1,2.2,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Tuesday,Apr,9,1.0,1.1,9.9,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Tuesday,Apr,7,1.0,1.1,7.700000000000001,20.0
Charlotte->South Florida,Light Jet,16:00-18:59,Tuesday,Apr,4,1.0,1.1,4.4,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Tuesday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Wednesday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Wednesday,Apr,3,1.0,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Wednesday,Apr,10,1.0,1.1,11.0,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Wednesday,Apr,8,1.0,1.1,8.8,30.0
Charlotte->South Florida,Light Jet,16:00-18:59,Wednesday,Apr,6,1.0,1.1,6.6000000000000005,15.0
Charlotte->South Florida,Light Jet,19:00-23:59,Wednesday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Thursday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Thursday,Apr,4,1.0,1.1,4.4,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Thursday,Apr,10,1.0,1.1,11.0,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Thursday,Apr,8,1.0,1.1,8.8,30.0
Charlotte->South Florida,Light Jet,16:00-18:59,Thursday,Apr,5,1.0,1.1,5.5,10.0
Charlotte->South Florida,Light Jet,19:00-23:59,Thursday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Friday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Friday,Apr,3,1.0,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Friday,Apr,10,1.0,1.1,11.0,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Friday,Apr,9,1.0,1.1,9.9,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Friday,Apr,5,1.0,1.1,5.5,10.0
Charlotte->South Florida,Light Jet,19:00-23:59,Friday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Saturday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Saturday,Apr,3,1.0,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Saturday,Apr,10,1.0,1.1,11.0,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Saturday,Apr,6,1.0,1.1,6.6000000000000005,15.0
Charlotte->South Florida,Light Jet,16:00-18:59,Saturday,Apr,4,1.0,1.1,4.4,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Saturday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Sunday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Sunday,Apr,3,1.0,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Sunday,Apr,10,1.0,1.1,11.0,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Sunday,Apr,10,1.0,1.1,11.0,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Sunday,Apr,7,1.0,1.1,7.700000000000001,20.0
Charlotte->South Florida,Light Jet,19:00-23:59,Sunday,Apr,1,1.0,1.1,1.1,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Monday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Monday,Aug,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Monday,Aug,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Monday,Aug,8,0.75,1.1,6.6000000000000005,15.0
Charlotte->South Florida,Light Jet,16:00-18:59,Monday,Aug,4,0.75,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Monday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Tuesday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Tuesday,Aug,2,0.75,1.1,1.6500000000000001,-5.0
Charlotte->South Florida,Light Jet,09:00-12:59,Tuesday,Aug,9,0.75,1.1,7.425000000000001,20.0
Charlotte->South Florida,Light Jet,13:00-15:59,Tuesday,Aug,7,0.75,1.1,5.775,10.0
Charlotte->South Florida,Light Jet,16:00-18:59,Tuesday,Aug,4,0.75,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Tuesday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Wednesday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Wednesday,Aug,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Wednesday,Aug,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Wednesday,Aug,8,0.75,1.1,6.6000000000000005,15.0
Charlotte->South Florida,Light Jet,16:00-18:59,Wednesday,Aug,6,0.75,1.1,4.95,5.0
Charlotte->South Florida,Light Jet,19:00-23:59,Wednesday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Thursday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Thursday,Aug,4,0.75,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Thursday,Aug,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Thursday,Aug,8,0.75,1.1,6.6000000000000005,15.0
Charlotte->South Florida,Light Jet,16:00-18:59,Thursday,Aug,5,0.75,1.1,4.125,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Thursday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Friday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Friday,Aug,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Friday,Aug,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Friday,Aug,9,0.75,1.1,7.425000000000001,20.0
Charlotte->South Florida,Light Jet,16:00-18:59,Friday,Aug,5,0.75,1.1,4.125,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Friday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Saturday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Saturday,Aug,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Saturday,Aug,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Saturday,Aug,6,0.75,1.1,4.95,5.0
Charlotte->South Florida,Light Jet,16:00-18:59,Saturday,Aug,4,0.75,1.1,3.3000000000000003,0.0
Charlotte->South Florida,Light Jet,19:00-23:59,Saturday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Sunday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,07:00-08:59,Sunday,Aug,3,0.75,1.1,2.475,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Sunday,Aug,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,13:00-15:59,Sunday,Aug,10,0.75,1.1,8.25,25.0
Charlotte->South Florida,Light Jet,16:00-18:59,Sunday,Aug,7,0.75,1.1,5.775,10.0
Charlotte->South Florida,Light Jet,19:00-23:59,Sunday,Aug,1,0.75,1.1,0.8250000000000001,-15.0
Charlotte->South Florida,Light Jet,00:00-06:59,Monday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Monday,Dec,3,1.3,1.1,4.290000000000001,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Monday,Dec,10,1.3,1.1,14.3,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Monday,Dec,8,1.3,1.1,11.440000000000001,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Monday,Dec,4,1.3,1.1,5.720000000000001,10.0
Charlotte->South Florida,Light Jet,19:00-23:59,Monday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Tuesday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Tuesday,Dec,2,1.3,1.1,2.8600000000000003,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Tuesday,Dec,9,1.3,1.1,12.870000000000003,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Tuesday,Dec,7,1.3,1.1,10.01,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Tuesday,Dec,4,1.3,1.1,5.720000000000001,10.0
Charlotte->South Florida,Light Jet,19:00-23:59,Tuesday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Wednesday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Wednesday,Dec,3,1.3,1.1,4.290000000000001,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Wednesday,Dec,10,1.3,1.1,14.3,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Wednesday,Dec,8,1.3,1.1,11.440000000000001,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Wednesday,Dec,6,1.3,1.1,8.580000000000002,30.0
Charlotte->South Florida,Light Jet,19:00-23:59,Wednesday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Thursday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Thursday,Dec,4,1.3,1.1,5.720000000000001,10.0
Charlotte->South Florida,Light Jet,09:00-12:59,Thursday,Dec,10,1.3,1.1,14.3,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Thursday,Dec,8,1.3,1.1,11.440000000000001,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Thursday,Dec,5,1.3,1.1,7.15,20.0
Charlotte->South Florida,Light Jet,19:00-23:59,Thursday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Friday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,07:00-08:59,Friday,Dec,3,1.3,1.1,4.290000000000001,0.0
Charlotte->South Florida,Light Jet,09:00-12:59,Friday,Dec,10,1.3,1.1,14.3,35.0
Charlotte->South Florida,Light Jet,13:00-15:59,Friday,Dec,9,1.3,1.1,12.870000000000003,35.0
Charlotte->South Florida,Light Jet,16:00-18:59,Friday,Dec,5,1.3,1.1,7.15,20.0
Charlotte->South Florida,Light Jet,19:00-23:59,Friday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
Charlotte->South Florida,Light Jet,00:00-06:59,Saturday,Dec,1,1.3,1.1,1.4300000000000002,-10.0
