,unified_id,ident,gps_code,latitude_deg,longitude_deg,timezone
0,00A,00A,K00A,40.070985,-74.933689,America/New_York
30,00N,00N,K00N,39.472998,-75.184346,America/New_York
41,00S,00S,K00S,44.181466,-122.086,America/Los_Angeles
49,00W,00W,K00W,46.672884,-117.441933,America/Los_Angeles
56,01A,01A,K01A,62.940833,-152.269722,America/Anchorage
76,01J,01J,K01J,30.685568,-81.906346,America/New_York
77,01K,01K,K01K,37.036132,-97.58533,America/Chicago
108,01U,01U,K01U,38.849785,-115.634987,America/Los_Angeles
221,03S,03S,K03S,45.401629,-122.228771,America/Los_Angeles
245,04I,04I,K04I,39.91151,-83.188577,America/New_York
280,04V,04V,K04V,38.099083,-106.174389,America/Denver
284,04W,04W,K04W,46.0228,-92.895401,America/Chicago
341,05V,05V,K05V,37.411098,-105.552002,America/Denver
377,06N,06N,K06N,41.431999,-74.391602,America/New_York
428,07N,07N,K07N,40.0168,-77.003899,America/New_York
469,08IN,08IN,K02D,41.223056,-85.830556,America/Indiana/Indianapolis
505,08U,08U,K08U,41.515701,-115.860001,America/Los_Angeles
553,09TA,09TA,K09T,33.280768,-97.496703,America/Chicago
560,09W,09W,K09W,38.868612,-77.008367,America/New_York
597,0B2,0B2,K0B2,44.763699,-68.767799,America/New_York
598,0B7,0B7,K0B7,44.117724,-72.826867,America/New_York
599,0C1,0C1,K0C1,39.487801,-94.780502,America/Chicago
600,0C2,0C2,K0C2,41.770901,-88.7034,America/Chicago
601,0C5,0C5,K0C5,43.575666,-85.284182,America/Detroit
603,0C8,0C8,K0C8,41.51885,-88.605079,America/Chicago
649,0D7,0D7,K0D7,40.7906,-83.829102,America/New_York
651,0E9,0E9,K0E9,40.754734,-93.242447,America/Chicago
675,0G0,0G0,K0G0,43.103199,-78.7033,America/New_York
676,0G5,0G5,K0G5,47.8263,-90.3835,America/Chicago
693,0H7,0H7,K0H7,40.4216,-91.706299,America/Chicago
694,0I2,0I2,K0I2,39.4767,-87.099701,America/Indiana/Indianapolis
740,0J0,0J0,K0J0,31.600093,-85.238353,America/Chicago
741,0J8,0J8,K0J8,29.618954,-82.508769,America/New_York
743,0K6,0K6,K0K6,36.179737,-95.5804,America/Chicago
755,0L4,0L4,K0L4,37.490909,-117.188848,America/Los_Angeles
757,0L6,0L6,K0L6,31.923824,-92.646091,America/Chicago
798,0MI1,0MI1,K5M6,44.140301,-84.4375,America/Detroit
849,0N4,0N4,K0N4,39.202301,-75.485497,America/New_York
850,0N5,0N5,K0N5,39.148231,-75.503451,America/New_York
902,0O4,0O4,K0O4,39.944555,-122.170851,America/Los_Angeles
932,0P2,0P2,K0P2,39.795243,-76.647678,America/New_York
964,0S1,0S1,K0S1,47.847956,-113.416758,America/Denver
1013,0U0,0U0,K0U0,44.642399,-115.532997,America/Boise
1014,0U1,0U1,K0U1,44.142093,-115.314312,America/Boise
1015,0U2,0U2,K0U2,43.8017,-113.831146,America/Boise
1016,0U3,0U3,K0U3,44.74457,-114.921404,America/Boise
1017,0U7,0U7,K0U7,43.32358,-113.59033,America/Boise
1018,0U8,0U8,K0U8,44.610513,-113.89596,America/Boise
1019,0U9,0U9,K0U9,44.461257,-116.757964,America/Boise
1029,0W0,0W0,K0W0,47.632212,-122.327653,America/Los_Angeles
1030,0W7,0W7,K0W7,48.728199,-122.335999,America/Los_Angeles
1080,0Y6,0Y6,K0Y6,43.41329,-93.512019,America/Chicago
1089,10D,10D,K10D,44.953837,-94.065062,America/Chicago
1141,11II,11II,KHBE,39.33933,-86.02983,America/Indiana/Indianapolis
1155,11N,11N,K11N,41.56928,-73.462153,America/New_York
1164,11S,11S,K11S,48.266102,-124.314003,America/Los_Angeles
1174,11Y,11Y,K11Y,44.063409,-88.192872,America/Chicago
1175,12A,12A,K12A,35.177483,-92.33509,America/Chicago
1187,12I,12I,K12I,39.5103,-85.0,America/Indiana/Indianapolis
1217,12S,12S,K12S,44.831558,-119.429685,America/Los_Angeles
1219,12T,12T,K12T,32.529866,-96.731122,America/Chicago
1240,13D,13D,K13D,42.62912,-83.683065,America/Detroit
1319,14P,14P,KUSW,38.82378,-81.348843,America/New_York
1341,15A,15A,K15A,30.90937,-87.996111,America/Chicago
1428,16S,16S,K16S,42.997157,-123.315412,America/Los_Angeles
1438,16W,16W,K16W,46.583931,-118.003972,America/Los_Angeles
1670,1DS,1DS,K1DS,33.386124,-80.906839,America/New_York
1671,1E2,1E2,K1E2,29.451289,-103.397754,America/Chicago
1675,1E8,1E8,K1E8,44.388266,-75.066376,America/New_York
1720,1H1,1H1,K1H1,43.205101,-76.178802,America/New_York
1725,1I3,1I3,K1I3,39.042654,-87.002749,America/Indiana/Indianapolis
1727,1I8,1I8,K1I8,40.573217,-85.899696,America/Indiana/Indianapolis
1765,1IN7,1IN7,K01D,41.403599,-85.7061,America/Indiana/Indianapolis
1802,1L4,1L4,K1L4,35.305547,-114.88236,America/Los_Angeles
1824,1M3,1M3,K1M3,34.979171,-86.883304,America/Chicago
1893,1N3,1N3,K1N3,40.9715,-78.242897,America/New_York
1943,1O6,1O6,K1O6,41.263199,-122.272003,America/Los_Angeles
1980,1P1,1P1,K1P1,43.778299,-71.753919,America/New_York
2003,1RL,1RL,K1RL,48.977316,-123.079294,America/Los_Angeles
2004,1S1,1S1,K1S1,48.990189,-116.502113,America/Los_Angeles
2007,1S6,1S6,K1S6,48.190614,-116.909895,America/Los_Angeles
2013,1SC6,1SC6,K2Q0,34.428922,-80.069939,America/New_York
2023,1T8,1T8,K1T8,29.7391,-98.451258,America/Chicago
2067,1U1,1U1,K1U1,46.124294,-114.923515,America/Los_Angeles
2112,1XA2,1XA2,KTX2,28.362444,-97.661917,America/Chicago
2116,1XA6,1XA6,KX16,33.473681,-97.122397,America/Chicago
2129,1Z1,1Z1,K1Z1,36.257984,-113.231063,America/Phoenix
2473,26N,26N,K26N,39.2635,-74.607498,America/New_York
2501,27C,27C,K27C,43.63046,-85.261095,America/Detroit
2596,28U,28U,K28U,43.42462,-117.345483,America/Boise
2613,29F,29F,K29F,34.392251,-101.759918,America/Chicago
2741,2E6,2E6,K2E6,45.534017,-98.094003,America/Chicago
2786,2H5,2H5,K2H5,29.498858,-95.898027,America/Chicago
2800,2ID7,2ID7,KC64,46.666599,-115.072998,America/Los_Angeles
2802,2IG4,2IG4,KI20,38.851782,-87.49987,America/Indiana/Vincennes
2846,2K8,2K8,K2K8,37.275297,-97.758739,America/Chicago
2847,2KL,2KL,K2KL,30.598801,-98.4086,America/Chicago
2851,2KS5,2KS5,KS44,37.266749,-100.583793,America/Chicago
2956,2N2,2N2,K2N2,43.591116,-71.751691,America/New_York
3311,31D,31D,K31D,40.331203,-79.780204,America/New_York
3346,31WI,31WI,KW11,43.007432,-88.602237,America/Chicago
3655,38I,38I,K38I,40.091202,-83.6894,America/New_York
3717,39K,39K,K39K,38.692001,-95.690002,America/Chicago
3751,3A9,3A9,K3A9,44.393142,-97.123375,America/Chicago
3819,3D2,3D2,K3D2,45.135399,-87.185898,America/Chicago
3955,3M5,3M5,K3M5,34.747299,-86.461403,America/Chicago
4069,3O8,3O8,K3O8,36.247813,-120.238323,America/Los_Angeles
4128,3S5,3S5,K3S5,43.035736,-84.435631,America/Detroit
4189,3U1,3U1,K3U1,45.267767,-115.683106,America/Boise
4213,3W5,3W5,K3W5,48.5298,-121.758003,America/Los_Angeles
4214,3W6,3W6,K3W6,34.542921,-78.778131,America/New_York
4265,3Y4,3Y4,K3Y4,41.736099,-95.683601,America/Chicago
4448,43OK,43OK,K3OK,35.660331,-97.002388,America/Chicago
4637,47Y,47Y,K47Y,46.641602,-96.1045,America/Chicago
4671,48P,48P,K48P,41.148575,-75.27518,America/New_York
4681,48U,48U,K48U,41.458,-109.489998,America/Denver
4693,49C,49C,K49C,42.527797,-88.156197,America/Chicago
4701,49G,49G,K49G,42.579007,-84.908947,America/Detroit
4720,49N,49N,K49N,40.824799,-72.7509,America/New_York
4736,49U,49U,KTBX,43.251301,-108.121002,America/Denver
4842,4G7,4G7,K4G7,39.4482,-80.167,America/New_York
4903,4KS7,4KS7,K6KS,37.55937,-97.064717,America/Chicago
4933,4M8,4M8,K4M8,34.647999,-91.394402,America/Chicago
4944,4MD,4MD,K4MD,39.271518,-76.572422,America/New_York
4995,4N2,4N2,K4N2,42.713133,-77.27271,America/New_York
5143,4V6,4V6,K4V6,42.682201,-102.700996,America/Denver
