Airport,From,To,Total,Cities,Has Unknown
KT82,1667,1727,3394,Unknown,Yes
K5B2,746,767,1513,Unknown,Yes
K27K,720,724,1444,Unknown,Yes
K0A9,718,726,1444,Unknown,Yes
KF45,611,594,1205,Unknown,Yes
K29D,590,605,1195,Unknown,Yes
K1R8,557,533,1090,Unknown,Yes
K1A5,441,444,885,Unknown,Yes
KF82,456,421,877,Unknown,Yes
K5C1,421,427,848,Unknown,Yes
KX60,379,452,831,Unknown,Yes
K11R,387,397,784,Unknown,Yes
K8A0,351,318,669,Unknown,Yes
K46U,306,320,626,Unknown,Yes
KM19,262,291,553,Unknown,Yes
K4I3,264,272,536,Unknown,Yes
KO69,247,270,517,Unknown,Yes
K20V,253,256,509,Unknown,Yes
K38S,238,247,485,Unknown,Yes
K3T5,231,242,473,Unknown,Yes
KS25,227,238,465,Unknown,Yes
KS21,228,207,435,Unknown,Yes
KE38,217,201,418,Unknown,Yes
KP19,202,189,391,Unknown,Yes
KM40,186,198,384,Unknown,Yes
K3J1,183,192,375,Unknown,Yes
K6A1,189,181,370,Unknown,Yes
KM25,187,173,360,Unknown,Yes
K3S8,175,180,355,Unknown,Yes
K1B1,177,176,353,Unknown,Yes
K6S0,166,180,346,Unknown,Yes
K8M1,166,170,336,Unknown,Yes
KM54,161,164,325,Unknown,Yes
K2I0,159,164,323,Unknown,Yes
KT89,158,160,318,Unknown,Yes
K4A9,173,138,311,Unknown,Yes
KE25,156,152,308,Unknown,Yes
K4O4,131,139,270,Unknown,Yes
K2G2,131,132,263,Unknown,Yes
K67L,132,126,258,Unknown,Yes
K1F0,115,114,229,Unknown,Yes
KF17,108,113,221,Unknown,Yes
K8A1,109,107,216,Unknown,Yes
KE11,115,97,212,Unknown,Yes
K0R0,100,99,199,Unknown,Yes
KS39,99,92,191,Unknown,Yes
KW03,98,92,190,Unknown,Yes
KD98,95,91,186,Unknown,Yes
K1A9,90,93,183,Unknown,Yes
KI68,93,88,181,Unknown,Yes
K28J,80,94,174,Unknown,Yes
K7S0,84,87,171,Unknown,Yes
K0G6,91,79,170,Unknown,Yes
K79J,89,80,169,Unknown,Yes
K2A0,83,85,168,Unknown,Yes
KM02,86,82,168,Unknown,Yes
KU42,82,83,165,Unknown,Yes
KC29,82,82,164,Unknown,Yes
KMO8,82,80,162,Unknown,Yes
K3DW,79,79,158,Unknown,Yes
