cluster_label,corridor
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Atlanta -> Denver
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Chicago
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Boston -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Charlotte -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> Denver
core-utilization,Chicago -> North Florida
core-utilization,Chicago -> North Florida
