FlightDate_utc,ArrivalDate_utc,Operator,FromAirport,FromCity,FromState,ToAirport,ToCity,ToState,Hours,aircraft_tailsign,aircraft_tailsign_certification,operator_type,aircraft_icao_code,aircraft_type,aircraft_model,aircraft_segment,fuel_uplift_usg,operator_group
2026-03-19T15:54:03.000Z,2026-03-19T18:50:56.000Z,Wheels Up Private Jets,KPBI,West Palm Beach,FL,KSAV,Savannah,GA,2.9480555555555554,N918TX,Commercial/ CAT / Part 135,Branded Charter,C750,Cessna-Citation X / 10,Citation X,Super Midsize Jet,990.55,Wheels Up
2026-03-25T20:18:00.000Z,2026-03-25T22:38:00.000Z,Wheels Up Private Jets,KPSP,Palm Springs,CA,KIXD,Olathe,KS,2.333333333333333,N918TX,Commercial/ CAT / Part 135,Branded Charter,C750,Cessna-Citation X / 10,Citation X,Super Midsize Jet,784.0,Wheels Up
2026-03-22T20:45:00.000Z,2026-03-22T22:01:00.000Z,Wheels Up Private Jets,KGPT,Gulfport,MS,KSAV,Savannah,GA,1.2666666666666666,N651UP,Part 91 / Non Commercial,Branded Charter,E55P,Embraer-Phenom 300,Phenom 300,Light Jet,217.87,Wheels Up
2026-03-19T17:06:00.000Z,2026-03-19T19:48:00.000Z,Wheels Up Private Jets,KCRQ,Carlsbad,CA,KHOU,Houston,TX,2.7,N906TX,Commercial/ CAT / Part 135,Branded Charter,C750,Cessna-Citation X / 10,Citation X,Super Midsize Jet,907.2,Wheels Up
2026-03-05T17:21:00.000Z,2026-03-05T17:50:00.000Z,Wheels Up Private Jets,KTMB,Miami,FL,KAPF,Naples,FL,0.4833333333333333,N949UP,Part 91 / Non Commercial,Branded Charter,CL30,Bombardier-Challenger 300 / 350,no model available,Super Midsize Jet,129.05,Wheels Up
2026-03-27T16:50:00.000Z,2026-03-27T18:36:00.000Z,Wheels Up Private Jets,KAUS,Austin,TX,KECP,Panama City,FL,1.7666666666666666,N492TM,Commercial/ CAT / Part 135,Branded Charter,BE40,Hawker Beechjet 400/400A /Nextant,Hawker 400XP,Light Jet,378.07,Wheels Up
2026-03-04T13:02:00.000Z,2026-03-04T15:56:00.000Z,Wheels Up Private Jets,KAPF,Naples,FL,KBTV,Burlington,VT,2.9,N944UP,Commercial/ CAT / Part 135,Branded Charter,CL30,Bombardier-Challenger 300 / 350,Challenger 300,Super Midsize Jet,774.3,Wheels Up
2026-03-22T20:15:00.000Z,2026-03-22T20:55:00.000Z,Wheels Up Private Jets,MYAM,Abaco Islands,,KFPR,Fort Pierce,FL,0.6666666666666666,N918TX,Commercial/ CAT / Part 135,Branded Charter,C750,Cessna-Citation X / 10,Citation X,Super Midsize Jet,224.0,Wheels Up
2026-03-06T17:37:00.000Z,2026-03-06T18:26:00.000Z,Wheels Up Private Jets,KAUS,Austin,TX,KMDD,Midland,TX,0.8166666666666667,N943UP,Commercial/ CAT / Part 135,Branded Charter,CL30,Bombardier-Challenger 300 / 350,Challenger 300,Super Midsize Jet,218.05,Wheels Up
2026-03-09T18:37:00.000Z,2026-03-09T20:39:00.000Z,Wheels Up Private Jets,KBOS,Boston,MA,KLUK,Cincinnati,OH,2.033333333333333,N452TM,Commercial/ CAT / Part 135,Branded Charter,BE40,Hawker Beechjet 400/400A /Nextant,Hawker 400XP,Light Jet,435.13,Wheels Up
2026-03-08T13:35:00.000Z,2026-03-08T15:01:00.000Z,Wheels Up Private Jets,KLNK,Lincoln,NE,KSDF,Louisville,KY,1.4333333333333331,N659UP,Commercial/ CAT / Part 135,Branded Charter,E55P,Embraer-Phenom 300,Phenom 300,Light Jet,246.53,Wheels Up
2026-03-12T22:40:00.000Z,2026-03-12T23:12:00.000Z,Wheels Up Private Jets,KSNA,Santa Ana,CA,KSBA,Santa Barbara,CA,0.5333333333333333,N920TX,Commercial/ CAT / Part 135,Branded Charter,C750,Cessna-Citation X / 10,Citation X,Super Midsize Jet,179.2,Wheels Up
2026-03-04T20:15:00.000Z,2026-03-04T21:54:00.000Z,Wheels Up Private Jets,KEGE,Eagle,CO,KDAL,Dallas,TX,1.65,N906TX,Commercial/ CAT / Part 135,Branded Charter,C750,Cessna-Citation X / 10,Citation X,Super Midsize Jet,554.4,Wheels Up
2026-03-29T20:36:00.000Z,2026-03-29T21:37:00.000Z,Wheels Up Private Jets,KCMH,Columbus,OH,KCAE,Columbia,SC,1.0166666666666666,N450TM,Commercial/ CAT / Part 135,Branded Charter,BE40,Hawker Beechjet 400/400A /Nextant,400-XP,Light Jet,217.57,Wheels Up
2026-03-29T21:22:39.000Z,2026-03-29T22:05:07.000Z,Wheels Up Private Jets,KDAY,Dayton,OH,KPTK,Pontiac,MI,0.7077777777777778,N652UP,Commercial/ CAT / Part 135,Branded Charter,E55P,Embraer-Phenom 300,Phenom 300,Light Jet,121.74,Wheels Up
2026-03-06T22:43:25.000Z,2026-03-07T00:43:25.000Z,Wheels Up Private Jets,KMTJ,Montrose,CO,42TT,Cleveland,TX,2.0,N654UP,Commercial/ CAT / Part 135,Branded Charter,E55P,Embraer-Phenom 300,Phenom 300,Light Jet,344.0,Wheels Up
2026-03-11T21:54:00.000Z,2026-03-11T23:37:00.000Z,Wheels Up Private Jets,KDTO,Denton,TX,KPDK,Atlanta,GA,1.7166666666666666,N667UP,Commercial/ CAT / Part 135,Branded Charter,E55P,Embraer-Phenom 300,Phenom 300,Light Jet,295.27,Wheels Up
2026-03-15T19:31:00.000Z,2026-03-15T20:37:00.000Z,Wheels Up Private Jets,KAUS,Austin,TX,KNEW,New Orleans,LA,1.1,N449TM,Commercial/ CAT / Part 135,Branded Charter,BE40,Hawker Beechjet 400/400A /Nextant,Hawker 400XP,Light Jet,235.4,Wheels Up
2026-03-27T20:21:00.000Z,2026-03-27T20:51:00.000Z,Wheels Up Private Jets,KECP,Panama City,FL,KTVI,Thomasville,GA,0.5,N453TM,Commercial/ CAT / Part 135,Branded Charter,BE40,Hawker Beechjet 400/400A /Nextant,Hawker 400XP,Light Jet,107.0,Wheels Up
2026-03-28T20:06:00.000Z,2026-03-28T21:21:00.000Z,Wheels Up Private Jets,KIAD,Washington,VA,KJZI,Charleston,SC,1.25,N661UP,Commercial/ CAT / Part 135,Branded Charter,E55P,Embraer-Phenom 300,Phenom 300,Light Jet,215.0,Wheels Up
