cluster_label,corridor,month,density_pct,seasonality_index,slab,intensity
winter-spring-peak,Atlanta -> Dallas,Jan,9.34,1.1208,9%-12%,3
winter-spring-peak,Atlanta -> Dallas,Feb,7.45,0.894,6%-9%,2
winter-spring-peak,Atlanta -> Dallas,Mar,9.2,1.104,9%-12%,3
winter-spring-peak,Atlanta -> Dallas,Apr,12.26,1.4712,12%-15%,4
winter-spring-peak,Atlanta -> Dallas,May,7.74,0.9288,6%-9%,2
winter-spring-peak,Atlanta -> Dallas,Jun,6.42,0.7704,6%-9%,2
winter-spring-peak,Atlanta -> Dallas,Jul,4.53,0.5436,4%-6%,1
winter-spring-peak,Atlanta -> Dallas,Aug,4.67,0.5604,4%-6%,1
winter-spring-peak,Atlanta -> Dallas,Sep,9.2,1.104,9%-12%,3
winter-spring-peak,Atlanta -> Dallas,Oct,8.76,1.0512,6%-9%,2
winter-spring-peak,Atlanta -> Dallas,Nov,11.09,1.3308,9%-12%,3
winter-spring-peak,Atlanta -> Dallas,Dec,9.34,1.1208,9%-12%,3
winter-spring-peak,Atlanta -> Houston,Jan,10.12,1.2144,9%-12%,3
winter-spring-peak,Atlanta -> Houston,Feb,8.9,1.068,6%-9%,2
winter-spring-peak,Atlanta -> Houston,Mar,9.2,1.104,9%-12%,3
winter-spring-peak,Atlanta -> Houston,Apr,10.43,1.2516,9%-12%,3
winter-spring-peak,Atlanta -> Houston,May,9.2,1.104,9%-12%,3
winter-spring-peak,Atlanta -> Houston,Jun,8.28,0.9936,6%-9%,2
winter-spring-peak,Atlanta -> Houston,Jul,6.13,0.7356,6%-9%,2
winter-spring-peak,Atlanta -> Houston,Aug,5.83,0.6996,4%-6%,1
winter-spring-peak,Atlanta -> Houston,Sep,4.91,0.5892,4%-6%,1
winter-spring-peak,Atlanta -> Houston,Oct,9.2,1.104,9%-12%,3
winter-spring-peak,Atlanta -> Houston,Nov,9.51,1.1412,9%-12%,3
winter-spring-peak,Atlanta -> Houston,Dec,8.28,0.9936,6%-9%,2
winter-spring-peak,Atlanta -> South Florida,Jan,11.29,1.3548,9%-12%,3
winter-spring-peak,Atlanta -> South Florida,Feb,8.56,1.0272,6%-9%,2
winter-spring-peak,Atlanta -> South Florida,Mar,10.17,1.2204,9%-12%,3
winter-spring-peak,Atlanta -> South Florida,Apr,9.93,1.1916,9%-12%,3
winter-spring-peak,Atlanta -> South Florida,May,7.32,0.8784,6%-9%,2
winter-spring-peak,Atlanta -> South Florida,Jun,6.2,0.744,6%-9%,2
winter-spring-peak,Atlanta -> South Florida,Jul,6.82,0.8184,6%-9%,2
winter-spring-peak,Atlanta -> South Florida,Aug,6.82,0.8184,6%-9%,2
winter-spring-peak,Atlanta -> South Florida,Sep,5.58,0.6696,4%-6%,1
winter-spring-peak,Atlanta -> South Florida,Oct,8.19,0.9828,6%-9%,2
winter-spring-peak,Atlanta -> South Florida,Nov,9.31,1.1172,9%-12%,3
winter-spring-peak,Atlanta -> South Florida,Dec,9.8,1.176,9%-12%,3
winter-spring-peak,Atlanta -> St. Louis,Jan,8.95,1.074,6%-9%,2
winter-spring-peak,Atlanta -> St. Louis,Feb,9.34,1.1208,9%-12%,3
winter-spring-peak,Atlanta -> St. Louis,Mar,8.95,1.074,6%-9%,2
winter-spring-peak,Atlanta -> St. Louis,Apr,10.89,1.3068,9%-12%,3
winter-spring-peak,Atlanta -> St. Louis,May,10.51,1.2612,9%-12%,3
winter-spring-peak,Atlanta -> St. Louis,Jun,7.78,0.9336,6%-9%,2
winter-spring-peak,Atlanta -> St. Louis,Jul,3.11,0.3732,< 4%,0
winter-spring-peak,Atlanta -> St. Louis,Aug,5.06,0.6072,4%-6%,1
winter-spring-peak,Atlanta -> St. Louis,Sep,5.45,0.654,4%-6%,1
winter-spring-peak,Atlanta -> St. Louis,Oct,9.73,1.1676,9%-12%,3
winter-spring-peak,Atlanta -> St. Louis,Nov,9.34,1.1208,9%-12%,3
winter-spring-peak,Atlanta -> St. Louis,Dec,10.89,1.3068,9%-12%,3
winter-spring-peak,Bay Area -> Houston,Jan,13.33,1.5996,12%-15%,4
winter-spring-peak,Bay Area -> Houston,Feb,8.89,1.0668,6%-9%,2
winter-spring-peak,Bay Area -> Houston,Mar,11.11,1.3332,9%-12%,3
winter-spring-peak,Bay Area -> Houston,Apr,2.22,0.2664,< 4%,0
winter-spring-peak,Bay Area -> Houston,May,4.44,0.5328,4%-6%,1
winter-spring-peak,Bay Area -> Houston,Jun,4.44,0.5328,4%-6%,1
winter-spring-peak,Bay Area -> Houston,Jul,8.89,1.0668,6%-9%,2
winter-spring-peak,Bay Area -> Houston,Aug,6.67,0.8004,6%-9%,2
winter-spring-peak,Bay Area -> Houston,Sep,2.22,0.2664,< 4%,0
winter-spring-peak,Bay Area -> Houston,Oct,13.33,1.5996,12%-15%,4
winter-spring-peak,Bay Area -> Houston,Nov,20.0,2.4,> 15%,5
winter-spring-peak,Bay Area -> Houston,Dec,4.44,0.5328,4%-6%,1
winter-spring-peak,Charlotte -> Atlanta,Jan,17.65,2.118,> 15%,5
winter-spring-peak,Charlotte -> Atlanta,Feb,5.88,0.7056,4%-6%,1
winter-spring-peak,Charlotte -> Atlanta,Mar,5.88,0.7056,4%-6%,1
