corridor,month,density_pct,cluster_label
Atlanta -> Dallas,Jan,9.34,winter-spring-peak
Atlanta -> Dallas,Feb,7.45,winter-spring-peak
Atlanta -> Dallas,Mar,9.2,winter-spring-peak
Atlanta -> Dallas,Apr,12.26,winter-spring-peak
Atlanta -> Dallas,May,7.74,winter-spring-peak
Atlanta -> Dallas,Jun,6.42,winter-spring-peak
Atlanta -> Dallas,Jul,4.53,winter-spring-peak
Atlanta -> Dallas,Aug,4.67,winter-spring-peak
Atlanta -> Dallas,Sep,9.2,winter-spring-peak
Atlanta -> Dallas,Oct,8.76,winter-spring-peak
Atlanta -> Dallas,Nov,11.09,winter-spring-peak
Atlanta -> Dallas,Dec,9.34,winter-spring-peak
Atlanta -> Houston,Jan,10.12,winter-spring-peak
Atlanta -> Houston,Feb,8.9,winter-spring-peak
Atlanta -> Houston,Mar,9.2,winter-spring-peak
Atlanta -> Houston,Apr,10.43,winter-spring-peak
Atlanta -> Houston,May,9.2,winter-spring-peak
Atlanta -> Houston,Jun,8.28,winter-spring-peak
Atlanta -> Houston,Jul,6.13,winter-spring-peak
Atlanta -> Houston,Aug,5.83,winter-spring-peak
Atlanta -> Houston,Sep,4.91,winter-spring-peak
Atlanta -> Houston,Oct,9.2,winter-spring-peak
Atlanta -> Houston,Nov,9.51,winter-spring-peak
Atlanta -> Houston,Dec,8.28,winter-spring-peak
Atlanta -> South Florida,Jan,11.29,winter-spring-peak
Atlanta -> South Florida,Feb,8.56,winter-spring-peak
Atlanta -> South Florida,Mar,10.17,winter-spring-peak
Atlanta -> South Florida,Apr,9.93,winter-spring-peak
Atlanta -> South Florida,May,7.32,winter-spring-peak
Atlanta -> South Florida,Jun,6.2,winter-spring-peak
Atlanta -> South Florida,Jul,6.82,winter-spring-peak
Atlanta -> South Florida,Aug,6.82,winter-spring-peak
Atlanta -> South Florida,Sep,5.58,winter-spring-peak
Atlanta -> South Florida,Oct,8.19,winter-spring-peak
Atlanta -> South Florida,Nov,9.31,winter-spring-peak
Atlanta -> South Florida,Dec,9.8,winter-spring-peak
Atlanta -> St. Louis,Jan,8.95,winter-spring-peak
Atlanta -> St. Louis,Feb,9.34,winter-spring-peak
Atlanta -> St. Louis,Mar,8.95,winter-spring-peak
Atlanta -> St. Louis,Apr,10.89,winter-spring-peak
Atlanta -> St. Louis,May,10.51,winter-spring-peak
Atlanta -> St. Louis,Jun,7.78,winter-spring-peak
Atlanta -> St. Louis,Jul,3.11,winter-spring-peak
Atlanta -> St. Louis,Aug,5.06,winter-spring-peak
Atlanta -> St. Louis,Sep,5.45,winter-spring-peak
Atlanta -> St. Louis,Oct,9.73,winter-spring-peak
Atlanta -> St. Louis,Nov,9.34,winter-spring-peak
Atlanta -> St. Louis,Dec,10.89,winter-spring-peak
Bay Area -> Houston,Jan,13.33,winter-spring-peak
Bay Area -> Houston,Feb,8.89,winter-spring-peak
Bay Area -> Houston,Mar,11.11,winter-spring-peak
Bay Area -> Houston,Apr,2.22,winter-spring-peak
Bay Area -> Houston,May,4.44,winter-spring-peak
Bay Area -> Houston,Jun,4.44,winter-spring-peak
Bay Area -> Houston,Jul,8.89,winter-spring-peak
Bay Area -> Houston,Aug,6.67,winter-spring-peak
Bay Area -> Houston,Sep,2.22,winter-spring-peak
Bay Area -> Houston,Oct,13.33,winter-spring-peak
Bay Area -> Houston,Nov,20.0,winter-spring-peak
Bay Area -> Houston,Dec,4.44,winter-spring-peak
Charlotte -> Atlanta,Jan,17.65,winter-spring-peak
Charlotte -> Atlanta,Feb,5.88,winter-spring-peak
Charlotte -> Atlanta,Mar,5.88,winter-spring-peak
Charlotte -> Atlanta,Apr,11.76,winter-spring-peak
Charlotte -> Atlanta,May,8.82,winter-spring-peak
Charlotte -> Atlanta,Jun,2.94,winter-spring-peak
Charlotte -> Atlanta,Jul,5.88,winter-spring-peak
Charlotte -> Atlanta,Aug,0.0,winter-spring-peak
Charlotte -> Atlanta,Sep,5.88,winter-spring-peak
Charlotte -> Atlanta,Oct,2.94,winter-spring-peak
Charlotte -> Atlanta,Nov,11.76,winter-spring-peak
Charlotte -> Atlanta,Dec,20.59,winter-spring-peak
Charlotte -> Nashville,Jan,10.48,winter-spring-peak
Charlotte -> Nashville,Feb,6.45,winter-spring-peak
Charlotte -> Nashville,Mar,15.32,winter-spring-peak
Charlotte -> Nashville,Apr,4.84,winter-spring-peak
Charlotte -> Nashville,May,8.06,winter-spring-peak
Charlotte -> Nashville,Jun,4.84,winter-spring-peak
Charlotte -> Nashville,Jul,2.42,winter-spring-peak
Charlotte -> Nashville,Aug,2.42,winter-spring-peak
Charlotte -> Nashville,Sep,7.26,winter-spring-peak
Charlotte -> Nashville,Oct,12.9,winter-spring-peak
Charlotte -> Nashville,Nov,13.71,winter-spring-peak
Charlotte -> Nashville,Dec,11.29,winter-spring-peak
Charlotte -> North Florida,Jan,13.79,winter-spring-peak
Charlotte -> North Florida,Feb,17.24,winter-spring-peak
Charlotte -> North Florida,Mar,9.48,winter-spring-peak
Charlotte -> North Florida,Apr,6.9,winter-spring-peak
Charlotte -> North Florida,May,13.79,winter-spring-peak
Charlotte -> North Florida,Jun,3.45,winter-spring-peak
Charlotte -> North Florida,Jul,6.9,winter-spring-peak
Charlotte -> North Florida,Aug,6.9,winter-spring-peak
Charlotte -> North Florida,Sep,6.03,winter-spring-peak
Charlotte -> North Florida,Oct,2.59,winter-spring-peak
Charlotte -> North Florida,Nov,5.17,winter-spring-peak
Charlotte -> North Florida,Dec,7.76,winter-spring-peak
Charlotte -> South Florida,Jan,9.65,winter-spring-peak
Charlotte -> South Florida,Feb,8.15,winter-spring-peak
Charlotte -> South Florida,Mar,10.5,winter-spring-peak
Charlotte -> South Florida,Apr,9.75,winter-spring-peak
Charlotte -> South Florida,May,8.43,winter-spring-peak
Charlotte -> South Florida,Jun,7.12,winter-spring-peak
Charlotte -> South Florida,Jul,5.72,winter-spring-peak
Charlotte -> South Florida,Aug,4.59,winter-spring-peak
Charlotte -> South Florida,Sep,6.09,winter-spring-peak
Charlotte -> South Florida,Oct,8.62,winter-spring-peak
Charlotte -> South Florida,Nov,9.0,winter-spring-peak
Charlotte -> South Florida,Dec,12.37,winter-spring-peak
Chicago -> Houston,Jan,5.6,winter-spring-peak
Chicago -> Houston,Feb,6.47,winter-spring-peak
Chicago -> Houston,Mar,9.91,winter-spring-peak
Chicago -> Houston,Apr,11.64,winter-spring-peak
Chicago -> Houston,May,9.91,winter-spring-peak
Chicago -> Houston,Jun,9.05,winter-spring-peak
Chicago -> Houston,Jul,6.03,winter-spring-peak
Chicago -> Houston,Aug,3.45,winter-spring-peak
Chicago -> Houston,Sep,6.9,winter-spring-peak
Chicago -> Houston,Oct,6.9,winter-spring-peak
Chicago -> Houston,Nov,13.79,winter-spring-peak
Chicago -> Houston,Dec,10.34,winter-spring-peak
Chicago -> South Florida,Jan,9.6,winter-spring-peak
Chicago -> South Florida,Feb,11.96,winter-spring-peak
Chicago -> South Florida,Mar,12.21,winter-spring-peak
Chicago -> South Florida,Apr,7.97,winter-spring-peak
Chicago -> South Florida,May,6.59,winter-spring-peak
Chicago -> South Florida,Jun,4.07,winter-spring-peak
Chicago -> South Florida,Jul,3.74,winter-spring-peak
Chicago -> South Florida,Aug,3.25,winter-spring-peak
Chicago -> South Florida,Sep,3.17,winter-spring-peak
Chicago -> South Florida,Oct,9.03,winter-spring-peak
Chicago -> South Florida,Nov,12.45,winter-spring-peak
Chicago -> South Florida,Dec,15.95,winter-spring-peak
DMV -> Atlanta,Jan,7.95,winter-spring-peak
DMV -> Atlanta,Feb,7.53,winter-spring-peak
DMV -> Atlanta,Mar,10.88,winter-spring-peak
DMV -> Atlanta,Apr,12.13,winter-spring-peak
DMV -> Atlanta,May,12.13,winter-spring-peak
DMV -> Atlanta,Jun,5.02,winter-spring-peak
DMV -> Atlanta,Jul,5.86,winter-spring-peak
DMV -> Atlanta,Aug,4.6,winter-spring-peak
DMV -> Atlanta,Sep,7.53,winter-spring-peak
DMV -> Atlanta,Oct,5.44,winter-spring-peak
DMV -> Atlanta,Nov,11.3,winter-spring-peak
DMV -> Atlanta,Dec,9.62,winter-spring-peak
DMV -> Nashville,Jan,10.47,winter-spring-peak
DMV -> Nashville,Feb,6.28,winter-spring-peak
DMV -> Nashville,Mar,10.99,winter-spring-peak
DMV -> Nashville,Apr,12.57,winter-spring-peak
DMV -> Nashville,May,9.95,winter-spring-peak
DMV -> Nashville,Jun,5.24,winter-spring-peak
DMV -> Nashville,Jul,4.19,winter-spring-peak
DMV -> Nashville,Aug,6.81,winter-spring-peak
DMV -> Nashville,Sep,6.81,winter-spring-peak
DMV -> Nashville,Oct,8.9,winter-spring-peak
DMV -> Nashville,Nov,9.42,winter-spring-peak
DMV -> Nashville,Dec,8.38,winter-spring-peak
DMV -> North Florida,Jan,9.55,winter-spring-peak
DMV -> North Florida,Feb,8.49,winter-spring-peak
DMV -> North Florida,Mar,10.88,winter-spring-peak
DMV -> North Florida,Apr,7.96,winter-spring-peak
DMV -> North Florida,May,13.79,winter-spring-peak
DMV -> North Florida,Jun,5.31,winter-spring-peak
DMV -> North Florida,Jul,5.04,winter-spring-peak
DMV -> North Florida,Aug,2.39,winter-spring-peak
DMV -> North Florida,Sep,7.69,winter-spring-peak
DMV -> North Florida,Oct,9.55,winter-spring-peak
DMV -> North Florida,Nov,10.88,winter-spring-peak
DMV -> North Florida,Dec,8.49,winter-spring-peak
DMV -> South Florida,Jan,11.39,winter-spring-peak
DMV -> South Florida,Feb,10.22,winter-spring-peak
DMV -> South Florida,Mar,10.49,winter-spring-peak
DMV -> South Florida,Apr,9.78,winter-spring-peak
DMV -> South Florida,May,8.34,winter-spring-peak
DMV -> South Florida,Jun,5.92,winter-spring-peak
DMV -> South Florida,Jul,4.22,winter-spring-peak
DMV -> South Florida,Aug,4.48,winter-spring-peak
DMV -> South Florida,Sep,4.13,winter-spring-peak
DMV -> South Florida,Oct,7.53,winter-spring-peak
DMV -> South Florida,Nov,10.4,winter-spring-peak
DMV -> South Florida,Dec,13.09,winter-spring-peak
Dallas -> Phoenix Valley,Jan,9.39,winter-spring-peak
Dallas -> Phoenix Valley,Feb,11.2,winter-spring-peak
Dallas -> Phoenix Valley,Mar,11.04,winter-spring-peak
Dallas -> Phoenix Valley,Apr,8.57,winter-spring-peak
Dallas -> Phoenix Valley,May,8.57,winter-spring-peak
Dallas -> Phoenix Valley,Jun,5.6,winter-spring-peak
Dallas -> Phoenix Valley,Jul,2.14,winter-spring-peak
Dallas -> Phoenix Valley,Aug,5.6,winter-spring-peak
Dallas -> Phoenix Valley,Sep,7.08,winter-spring-peak
Dallas -> Phoenix Valley,Oct,9.39,winter-spring-peak
Dallas -> Phoenix Valley,Nov,11.7,winter-spring-peak
Dallas -> Phoenix Valley,Dec,9.72,winter-spring-peak
Dallas -> San Antonio,Jan,17.74,winter-spring-peak
Dallas -> San Antonio,Feb,11.29,winter-spring-peak
Dallas -> San Antonio,Mar,14.52,winter-spring-peak
Dallas -> San Antonio,Apr,8.06,winter-spring-peak
Dallas -> San Antonio,May,8.06,winter-spring-peak
Dallas -> San Antonio,Jun,3.23,winter-spring-peak
Dallas -> San Antonio,Jul,4.84,winter-spring-peak
Dallas -> San Antonio,Aug,4.84,winter-spring-peak
Dallas -> San Antonio,Sep,1.61,winter-spring-peak
Dallas -> San Antonio,Oct,0.0,winter-spring-peak
Dallas -> San Antonio,Nov,20.97,winter-spring-peak
Dallas -> San Antonio,Dec,4.84,winter-spring-peak
Dallas -> South Florida,Jan,9.82,winter-spring-peak
Dallas -> South Florida,Feb,12.12,winter-spring-peak
Dallas -> South Florida,Mar,11.2,winter-spring-peak
Dallas -> South Florida,Apr,9.66,winter-spring-peak
Dallas -> South Florida,May,11.2,winter-spring-peak
Dallas -> South Florida,Jun,7.21,winter-spring-peak
Dallas -> South Florida,Jul,4.14,winter-spring-peak
Dallas -> South Florida,Aug,5.52,winter-spring-peak
Dallas -> South Florida,Sep,4.14,winter-spring-peak
Dallas -> South Florida,Oct,5.67,winter-spring-peak
Dallas -> South Florida,Nov,8.74,winter-spring-peak
Dallas -> South Florida,Dec,10.58,winter-spring-peak
Denver -> North Florida,Jan,12.34,winter-spring-peak
Denver -> North Florida,Feb,12.34,winter-spring-peak
Denver -> North Florida,Mar,15.58,winter-spring-peak
Denver -> North Florida,Apr,5.84,winter-spring-peak
Denver -> North Florida,May,5.84,winter-spring-peak
Denver -> North Florida,Jun,4.55,winter-spring-peak
Denver -> North Florida,Jul,9.09,winter-spring-peak
Denver -> North Florida,Aug,5.19,winter-spring-peak
Denver -> North Florida,Sep,9.09,winter-spring-peak
Denver -> North Florida,Oct,5.84,winter-spring-peak
Denver -> North Florida,Nov,4.55,winter-spring-peak
Denver -> North Florida,Dec,9.74,winter-spring-peak
Denver -> Phoenix Valley,Jan,7.97,winter-spring-peak
Denver -> Phoenix Valley,Feb,10.9,winter-spring-peak
Denver -> Phoenix Valley,Mar,14.47,winter-spring-peak
Denver -> Phoenix Valley,Apr,9.01,winter-spring-peak
Denver -> Phoenix Valley,May,8.18,winter-spring-peak
Denver -> Phoenix Valley,Jun,8.6,winter-spring-peak
Denver -> Phoenix Valley,Jul,3.98,winter-spring-peak
Denver -> Phoenix Valley,Aug,6.08,winter-spring-peak
Denver -> Phoenix Valley,Sep,3.77,winter-spring-peak
Denver -> Phoenix Valley,Oct,9.64,winter-spring-peak
Denver -> Phoenix Valley,Nov,8.39,winter-spring-peak
Denver -> Phoenix Valley,Dec,9.01,winter-spring-peak
Denver -> South Florida,Jan,15.91,winter-spring-peak
Denver -> South Florida,Feb,11.93,winter-spring-peak
Denver -> South Florida,Mar,15.91,winter-spring-peak
Denver -> South Florida,Apr,11.36,winter-spring-peak
Denver -> South Florida,May,4.55,winter-spring-peak
Denver -> South Florida,Jun,2.84,winter-spring-peak
Denver -> South Florida,Jul,6.25,winter-spring-peak
Denver -> South Florida,Aug,5.11,winter-spring-peak
Denver -> South Florida,Sep,3.41,winter-spring-peak
Denver -> South Florida,Oct,6.25,winter-spring-peak
Denver -> South Florida,Nov,3.98,winter-spring-peak
Denver -> South Florida,Dec,12.5,winter-spring-peak
Detroit -> Phoenix Valley,Jan,8.57,winter-spring-peak
Detroit -> Phoenix Valley,Feb,11.43,winter-spring-peak
Detroit -> Phoenix Valley,Mar,8.57,winter-spring-peak
Detroit -> Phoenix Valley,Apr,5.71,winter-spring-peak
Detroit -> Phoenix Valley,May,5.71,winter-spring-peak
Detroit -> Phoenix Valley,Jun,5.71,winter-spring-peak
Detroit -> Phoenix Valley,Jul,5.71,winter-spring-peak
Detroit -> Phoenix Valley,Aug,5.71,winter-spring-peak
Detroit -> Phoenix Valley,Sep,11.43,winter-spring-peak
Detroit -> Phoenix Valley,Oct,2.86,winter-spring-peak
Detroit -> Phoenix Valley,Nov,14.29,winter-spring-peak
Detroit -> Phoenix Valley,Dec,14.29,winter-spring-peak
Detroit -> South Florida,Jan,11.14,winter-spring-peak
Detroit -> South Florida,Feb,11.45,winter-spring-peak
Detroit -> South Florida,Mar,10.54,winter-spring-peak
Detroit -> South Florida,Apr,9.04,winter-spring-peak
Detroit -> South Florida,May,6.48,winter-spring-peak
Detroit -> South Florida,Jun,4.52,winter-spring-peak
Detroit -> South Florida,Jul,4.22,winter-spring-peak
Detroit -> South Florida,Aug,3.61,winter-spring-peak
Detroit -> South Florida,Sep,5.42,winter-spring-peak
Detroit -> South Florida,Oct,9.34,winter-spring-peak
Detroit -> South Florida,Nov,10.69,winter-spring-peak
Detroit -> South Florida,Dec,13.55,winter-spring-peak
Houston -> Dallas,Jan,11.9,winter-spring-peak
Houston -> Dallas,Feb,12.7,winter-spring-peak
Houston -> Dallas,Mar,8.73,winter-spring-peak
Houston -> Dallas,Apr,11.9,winter-spring-peak
Houston -> Dallas,May,11.11,winter-spring-peak
Houston -> Dallas,Jun,3.17,winter-spring-peak
Houston -> Dallas,Jul,3.17,winter-spring-peak
Houston -> Dallas,Aug,2.38,winter-spring-peak
Houston -> Dallas,Sep,5.56,winter-spring-peak
Houston -> Dallas,Oct,3.97,winter-spring-peak
Houston -> Dallas,Nov,11.9,winter-spring-peak
Houston -> Dallas,Dec,13.49,winter-spring-peak
Houston -> LA Basin,Jan,15.05,winter-spring-peak
Houston -> LA Basin,Feb,9.14,winter-spring-peak
Houston -> LA Basin,Mar,8.6,winter-spring-peak
Houston -> LA Basin,Apr,10.75,winter-spring-peak
Houston -> LA Basin,May,9.68,winter-spring-peak
Houston -> LA Basin,Jun,4.3,winter-spring-peak
Houston -> LA Basin,Jul,2.69,winter-spring-peak
Houston -> LA Basin,Aug,4.3,winter-spring-peak
Houston -> LA Basin,Sep,4.3,winter-spring-peak
Houston -> LA Basin,Oct,14.52,winter-spring-peak
Houston -> LA Basin,Nov,6.45,winter-spring-peak
Houston -> LA Basin,Dec,10.22,winter-spring-peak
Houston -> Phoenix Valley,Jan,9.76,winter-spring-peak
Houston -> Phoenix Valley,Feb,10.73,winter-spring-peak
Houston -> Phoenix Valley,Mar,9.27,winter-spring-peak
Houston -> Phoenix Valley,Apr,11.71,winter-spring-peak
Houston -> Phoenix Valley,May,12.2,winter-spring-peak
Houston -> Phoenix Valley,Jun,5.85,winter-spring-peak
Houston -> Phoenix Valley,Jul,5.37,winter-spring-peak
Houston -> Phoenix Valley,Aug,5.85,winter-spring-peak
Houston -> Phoenix Valley,Sep,5.85,winter-spring-peak
Houston -> Phoenix Valley,Oct,6.34,winter-spring-peak
Houston -> Phoenix Valley,Nov,10.24,winter-spring-peak
Houston -> Phoenix Valley,Dec,6.83,winter-spring-peak
Houston -> San Antonio,Jan,16.46,winter-spring-peak
Houston -> San Antonio,Feb,10.13,winter-spring-peak
Houston -> San Antonio,Mar,11.39,winter-spring-peak
Houston -> San Antonio,Apr,8.86,winter-spring-peak
Houston -> San Antonio,May,13.92,winter-spring-peak
Houston -> San Antonio,Jun,2.53,winter-spring-peak
Houston -> San Antonio,Jul,3.8,winter-spring-peak
Houston -> San Antonio,Aug,2.53,winter-spring-peak
Houston -> San Antonio,Sep,2.53,winter-spring-peak
Houston -> San Antonio,Oct,6.33,winter-spring-peak
Houston -> San Antonio,Nov,12.66,winter-spring-peak
Houston -> San Antonio,Dec,8.86,winter-spring-peak
Houston -> South Florida,Jan,12.76,winter-spring-peak
Houston -> South Florida,Feb,9.48,winter-spring-peak
Houston -> South Florida,Mar,8.28,winter-spring-peak
Houston -> South Florida,Apr,10.0,winter-spring-peak
Houston -> South Florida,May,11.03,winter-spring-peak
Houston -> South Florida,Jun,5.34,winter-spring-peak
Houston -> South Florida,Jul,6.38,winter-spring-peak
Houston -> South Florida,Aug,5.86,winter-spring-peak
Houston -> South Florida,Sep,5.34,winter-spring-peak
Houston -> South Florida,Oct,7.24,winter-spring-peak
Houston -> South Florida,Nov,8.79,winter-spring-peak
Houston -> South Florida,Dec,9.48,winter-spring-peak
LA Basin -> Atlanta,Jan,11.11,winter-spring-peak
LA Basin -> Atlanta,Feb,4.44,winter-spring-peak
LA Basin -> Atlanta,Mar,4.44,winter-spring-peak
LA Basin -> Atlanta,Apr,15.56,winter-spring-peak
LA Basin -> Atlanta,May,11.11,winter-spring-peak
LA Basin -> Atlanta,Jun,2.22,winter-spring-peak
LA Basin -> Atlanta,Jul,0.0,winter-spring-peak
LA Basin -> Atlanta,Aug,2.22,winter-spring-peak
LA Basin -> Atlanta,Sep,15.56,winter-spring-peak
LA Basin -> Atlanta,Oct,11.11,winter-spring-peak
LA Basin -> Atlanta,Nov,15.56,winter-spring-peak
LA Basin -> Atlanta,Dec,6.67,winter-spring-peak
LA Basin -> Bay Area,Jan,12.35,winter-spring-peak
LA Basin -> Bay Area,Feb,16.05,winter-spring-peak
LA Basin -> Bay Area,Mar,19.75,winter-spring-peak
LA Basin -> Bay Area,Apr,4.94,winter-spring-peak
LA Basin -> Bay Area,May,8.64,winter-spring-peak
LA Basin -> Bay Area,Jun,1.23,winter-spring-peak
LA Basin -> Bay Area,Jul,2.47,winter-spring-peak
LA Basin -> Bay Area,Aug,3.7,winter-spring-peak
LA Basin -> Bay Area,Sep,4.94,winter-spring-peak
LA Basin -> Bay Area,Oct,6.17,winter-spring-peak
LA Basin -> Bay Area,Nov,7.41,winter-spring-peak
LA Basin -> Bay Area,Dec,12.35,winter-spring-peak
LA Basin -> Houston,Jan,11.72,winter-spring-peak
LA Basin -> Houston,Feb,10.46,winter-spring-peak
LA Basin -> Houston,Mar,7.53,winter-spring-peak
LA Basin -> Houston,Apr,9.62,winter-spring-peak
LA Basin -> Houston,May,10.04,winter-spring-peak
LA Basin -> Houston,Jun,3.77,winter-spring-peak
LA Basin -> Houston,Jul,3.35,winter-spring-peak
LA Basin -> Houston,Aug,2.93,winter-spring-peak
LA Basin -> Houston,Sep,7.95,winter-spring-peak
LA Basin -> Houston,Oct,10.46,winter-spring-peak
LA Basin -> Houston,Nov,9.21,winter-spring-peak
LA Basin -> Houston,Dec,12.97,winter-spring-peak
LA Basin -> North Florida,Jan,24.0,winter-spring-peak
LA Basin -> North Florida,Feb,32.0,winter-spring-peak
LA Basin -> North Florida,Mar,8.0,winter-spring-peak
LA Basin -> North Florida,Apr,4.0,winter-spring-peak
LA Basin -> North Florida,May,4.0,winter-spring-peak
LA Basin -> North Florida,Jun,0.0,winter-spring-peak
LA Basin -> North Florida,Jul,4.0,winter-spring-peak
LA Basin -> North Florida,Aug,0.0,winter-spring-peak
LA Basin -> North Florida,Sep,4.0,winter-spring-peak
LA Basin -> North Florida,Oct,0.0,winter-spring-peak
LA Basin -> North Florida,Nov,12.0,winter-spring-peak
LA Basin -> North Florida,Dec,8.0,winter-spring-peak
LA Basin -> South Florida,Jan,11.11,winter-spring-peak
LA Basin -> South Florida,Feb,7.41,winter-spring-peak
LA Basin -> South Florida,Mar,11.11,winter-spring-peak
LA Basin -> South Florida,Apr,25.93,winter-spring-peak
LA Basin -> South Florida,May,11.11,winter-spring-peak
LA Basin -> South Florida,Jun,0.0,winter-spring-peak
LA Basin -> South Florida,Jul,7.41,winter-spring-peak
LA Basin -> South Florida,Aug,3.7,winter-spring-peak
LA Basin -> South Florida,Sep,3.7,winter-spring-peak
LA Basin -> South Florida,Oct,3.7,winter-spring-peak
LA Basin -> South Florida,Nov,3.7,winter-spring-peak
LA Basin -> South Florida,Dec,11.11,winter-spring-peak
Minneapolis -> Phoenix Valley,Jan,10.68,winter-spring-peak
Minneapolis -> Phoenix Valley,Feb,9.83,winter-spring-peak
Minneapolis -> Phoenix Valley,Mar,10.26,winter-spring-peak
Minneapolis -> Phoenix Valley,Apr,5.98,winter-spring-peak
Minneapolis -> Phoenix Valley,May,5.98,winter-spring-peak
