corridor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cluster_id,cluster_label,annual_missions
South Florida -> New York City,10.97,11.72,12.04,10.43,10.38,5.94,2.94,3.69,3.69,7.01,10.75,10.43,0,winter-spring-peak,934.5
New York City -> South Florida,10.44,9.79,11.63,9.46,7.84,5.52,2.97,4.06,4.54,9.25,11.25,13.25,0,winter-spring-peak,924.5
Chicago -> South Florida,9.6,11.96,12.21,7.97,6.59,4.07,3.74,3.25,3.17,9.03,12.45,15.95,0,winter-spring-peak,614.5
South Florida -> Chicago,9.71,10.46,13.28,10.71,10.62,4.98,4.4,3.07,4.32,5.73,10.04,12.7,0,winter-spring-peak,602.5
South Florida -> Atlanta,12.38,10.29,10.13,10.46,6.61,5.19,4.02,3.93,3.51,9.46,11.05,12.97,0,winter-spring-peak,597.5
South Florida -> DMV,9.51,10.22,11.47,12.98,9.16,4.44,4.8,3.56,4.27,7.56,9.69,12.36,0,winter-spring-peak,562.5
DMV -> South Florida,11.39,10.22,10.49,9.78,8.34,5.92,4.22,4.48,4.13,7.53,10.4,13.09,0,winter-spring-peak,557.5
Charlotte -> South Florida,9.65,8.15,10.5,9.75,8.43,7.12,5.72,4.59,6.09,8.62,9.0,12.37,0,winter-spring-peak,533.5
South Florida -> Charlotte,8.11,10.19,11.97,7.12,7.81,7.91,5.93,4.85,5.04,7.81,10.29,12.96,0,winter-spring-peak,505.5
Atlanta -> South Florida,11.29,8.56,10.17,9.93,7.32,6.2,6.82,6.82,5.58,8.19,9.31,9.8,0,winter-spring-peak,403.0
South Florida -> Houston,13.39,9.97,10.25,9.43,7.38,5.74,3.83,4.23,5.87,9.02,9.43,11.48,0,winter-spring-peak,366.0
South Florida -> Boston,7.22,9.63,7.93,10.76,15.3,7.08,4.53,5.67,5.24,6.94,9.07,10.62,0,winter-spring-peak,353.0
South Florida -> Detroit,10.64,9.5,10.64,11.77,10.35,5.53,6.1,3.26,3.4,5.39,10.78,12.62,0,winter-spring-peak,352.5
South Florida -> Pittsburgh,8.83,10.26,11.4,9.83,10.83,6.55,4.99,4.7,4.27,7.26,10.4,10.68,0,winter-spring-peak,351.0
South Florida -> Dallas,9.52,11.26,11.83,9.09,9.67,7.07,4.04,4.47,4.47,6.64,9.81,12.12,0,winter-spring-peak,346.5
Atlanta -> Dallas,9.34,7.45,9.2,12.26,7.74,6.42,4.53,4.67,9.2,8.76,11.09,9.34,0,winter-spring-peak,342.5
Pittsburgh -> South Florida,9.81,9.96,9.51,7.43,8.02,5.65,4.9,4.31,5.35,9.81,12.78,12.48,0,winter-spring-peak,336.5
Nashville -> South Florida,11.01,10.12,11.01,9.97,9.38,5.06,4.02,5.36,4.61,7.59,9.97,11.9,0,winter-spring-peak,336.0
Detroit -> South Florida,11.14,11.45,10.54,9.04,6.48,4.52,4.22,3.61,5.42,9.34,10.69,13.55,0,winter-spring-peak,332.0
Dallas -> South Florida,9.82,12.12,11.2,9.66,11.2,7.21,4.14,5.52,4.14,5.67,8.74,10.58,0,winter-spring-peak,326.0
South Florida -> Nashville,13.25,8.94,9.24,10.48,7.24,4.47,4.62,5.7,4.78,8.78,10.17,12.33,0,winter-spring-peak,324.5
Dallas -> Phoenix Valley,9.39,11.2,11.04,8.57,8.57,5.6,2.14,5.6,7.08,9.39,11.7,9.72,0,winter-spring-peak,303.5
South Florida -> St. Louis,12.75,12.58,12.09,9.6,8.28,3.64,4.47,4.47,3.97,6.46,9.27,12.42,0,winter-spring-peak,302.0
St. Louis -> South Florida,11.05,12.59,12.59,7.99,7.31,4.59,4.76,5.1,5.1,6.46,9.69,12.76,0,winter-spring-peak,294.0
Houston -> South Florida,12.76,9.48,8.28,10.0,11.03,5.34,6.38,5.86,5.34,7.24,8.79,9.48,0,winter-spring-peak,290.0
