corridor,from_metro,to_metro,month,mission_count,density_pct,seasonality_index,above_avg,is_peak_month,slab,intensity,cluster_label,annual_missions,wup_share_pct,avg_hours,dominant_model,dominant_model_share_pct,model_count,all_models
Atlanta -> Boston,Atlanta,Boston,Jan,4,3.85,0.46153846153846156,False,False,< 4%,0,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Feb,2,2.14,0.25641025641025644,False,False,< 4%,0,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Mar,4,3.42,0.4102564102564103,False,False,< 4%,0,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Apr,10,8.55,1.0256410256410258,True,False,6%-9%,2,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,May,10,8.12,0.9743589743589745,False,False,6%-9%,2,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Jun,18,14.96,1.794871794871795,True,True,12%-15%,4,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Jul,14,11.97,1.4358974358974361,True,False,9%-12%,3,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Aug,15,12.82,1.5384615384615383,True,False,12%-15%,4,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Sep,12,10.68,1.2820512820512822,True,False,9%-12%,3,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Oct,12,10.68,1.2820512820512822,True,False,9%-12%,3,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Nov,12,9.83,1.1794871794871795,True,False,9%-12%,3,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Boston,Atlanta,Boston,Dec,4,2.99,0.35897435897435903,False,False,< 4%,0,core-utilization,117.0,3.85,2.145868945868946,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Jan,4,5.47,0.65625,False,False,4%-6%,1,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Feb,3,4.69,0.5625,False,False,4%-6%,1,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Mar,7,10.94,1.3125,True,False,9%-12%,3,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Apr,6,8.59,1.03125,True,False,6%-9%,2,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,May,5,7.81,0.9375,False,False,6%-9%,2,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Jun,9,14.06,1.6875,True,True,12%-15%,4,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Jul,5,7.81,0.9375,False,False,6%-9%,2,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Aug,4,7.03,0.84375,False,False,6%-9%,2,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Sep,4,6.25,0.75,False,False,6%-9%,2,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Oct,8,13.28,1.59375,True,False,12%-15%,4,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Nov,6,9.38,1.125,True,False,9%-12%,3,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Philadelphia,Atlanta,Philadelphia,Dec,3,4.69,0.5625,False,False,4%-6%,1,core-utilization,64.0,7.03,1.6885416666666666,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Jan,2,8.0,0.9600000000000001,False,False,6%-9%,2,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Feb,1,4.0,0.48000000000000004,False,False,4%-6%,1,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Mar,1,4.0,0.48000000000000004,False,False,4%-6%,1,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Apr,0,2.0,0.24000000000000002,False,False,< 4%,0,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,May,2,6.0,0.72,False,False,6%-9%,2,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Jun,5,20.0,2.4000000000000004,True,True,> 15%,5,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Jul,1,4.0,0.48000000000000004,False,False,4%-6%,1,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Aug,2,10.0,1.2000000000000002,True,False,9%-12%,3,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Sep,2,10.0,1.2000000000000002,True,False,9%-12%,3,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Oct,4,18.0,2.16,True,False,> 15%,5,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Nov,1,4.0,0.48000000000000004,False,False,4%-6%,1,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Atlanta -> Pittsburgh,Atlanta,Pittsburgh,Dec,2,10.0,1.2000000000000002,True,False,9%-12%,3,core-utilization,25.0,2.0,1.7336666666666667,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Jan,0,2.38,0.2857142857142857,False,False,< 4%,0,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Feb,2,9.52,1.1428571428571428,True,False,9%-12%,3,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Mar,2,9.52,1.1428571428571428,True,False,9%-12%,3,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Apr,0,2.38,0.2857142857142857,False,False,< 4%,0,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,May,0,2.38,0.2857142857142857,False,False,< 4%,0,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Jun,2,7.14,0.8571428571428571,False,False,6%-9%,2,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Jul,2,7.14,0.8571428571428571,False,False,6%-9%,2,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Aug,2,11.9,1.4285714285714286,True,False,9%-12%,3,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Sep,2,11.9,1.4285714285714286,True,False,9%-12%,3,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Oct,3,14.29,1.7142857142857142,True,True,12%-15%,4,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Nov,3,14.29,1.7142857142857142,True,False,12%-15%,4,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Chicago,Bay Area,Chicago,Dec,2,7.14,0.8571428571428571,False,False,6%-9%,2,core-utilization,21.0,0.0,3.7543650793650793,Phenom 300,100.0,1,Phenom 300
Bay Area -> Minneapolis,Bay Area,Minneapolis,Jan,6,10.89,1.306930693069307,True,False,9%-12%,3,core-utilization,50.5,0.0,2.9552805280528056,Phenom 300,100.0,1,Phenom 300
Bay Area -> Minneapolis,Bay Area,Minneapolis,Feb,4,6.93,0.8316831683168318,False,False,6%-9%,2,core-utilization,50.5,0.0,2.9552805280528056,Phenom 300,100.0,1,Phenom 300
Bay Area -> Minneapolis,Bay Area,Minneapolis,Mar,4,6.93,0.8316831683168318,False,False,6%-9%,2,core-utilization,50.5,0.0,2.9552805280528056,Phenom 300,100.0,1,Phenom 300
