corridor,month,density_pct,cluster_label,slab,intensity,dominant_model,all_models
Atlanta -> Dallas,Jan,9.34,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Dallas,Feb,7.45,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> Dallas,Mar,9.2,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Dallas,Apr,12.26,winter-spring-peak,12%-15%,4,Phenom 300,Phenom 300
Atlanta -> Dallas,May,7.74,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> Dallas,Jun,6.42,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> Dallas,Jul,4.53,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Atlanta -> Dallas,Aug,4.67,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Atlanta -> Dallas,Sep,9.2,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Dallas,Oct,8.76,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> Dallas,Nov,11.09,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Dallas,Dec,9.34,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Houston,Jan,10.12,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Houston,Feb,8.9,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> Houston,Mar,9.2,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Houston,Apr,10.43,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Houston,May,9.2,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Houston,Jun,8.28,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> Houston,Jul,6.13,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> Houston,Aug,5.83,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Atlanta -> Houston,Sep,4.91,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Atlanta -> Houston,Oct,9.2,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Houston,Nov,9.51,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> Houston,Dec,8.28,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> South Florida,Jan,11.29,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> South Florida,Feb,8.56,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> South Florida,Mar,10.17,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> South Florida,Apr,9.93,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> South Florida,May,7.32,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> South Florida,Jun,6.2,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> South Florida,Jul,6.82,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> South Florida,Aug,6.82,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> South Florida,Sep,5.58,winter-spring-peak,4%-6%,1,Phenom 300,Phenom 300
Atlanta -> South Florida,Oct,8.19,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> South Florida,Nov,9.31,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> South Florida,Dec,9.8,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> St. Louis,Jan,8.95,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> St. Louis,Feb,9.34,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> St. Louis,Mar,8.95,winter-spring-peak,6%-9%,2,Phenom 300,Phenom 300
Atlanta -> St. Louis,Apr,10.89,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
Atlanta -> St. Louis,May,10.51,winter-spring-peak,9%-12%,3,Phenom 300,Phenom 300
