corridor,month,seasonality_index,cluster_label,slab,intensity
Atlanta -> Boston,Jan,0.46,core-utilization,< 0.5x,0
Atlanta -> Boston,Feb,0.26,core-utilization,< 0.5x,0
Atlanta -> Boston,Mar,0.41,core-utilization,< 0.5x,0
Atlanta -> Boston,Apr,1.03,core-utilization,1.0x-1.3x,3
Atlanta -> Boston,May,0.97,core-utilization,0.7x-1.0x,2
Atlanta -> Boston,Jun,1.79,core-utilization,>= 1.6x,5
Atlanta -> Boston,Jul,1.44,core-utilization,1.3x-1.6x,4
Atlanta -> Boston,Aug,1.54,core-utilization,1.3x-1.6x,4
Atlanta -> Boston,Sep,1.28,core-utilization,1.0x-1.3x,3
Atlanta -> Boston,Oct,1.28,core-utilization,1.0x-1.3x,3
Atlanta -> Boston,Nov,1.18,core-utilization,1.0x-1.3x,3
Atlanta -> Boston,Dec,0.36,core-utilization,< 0.5x,0
Atlanta -> Philadelphia,Jan,0.66,core-utilization,0.5x-0.7x,1
Atlanta -> Philadelphia,Feb,0.56,core-utilization,0.5x-0.7x,1
Atlanta -> Philadelphia,Mar,1.31,core-utilization,1.3x-1.6x,4
Atlanta -> Philadelphia,Apr,1.03,core-utilization,1.0x-1.3x,3
Atlanta -> Philadelphia,May,0.94,core-utilization,0.7x-1.0x,2
Atlanta -> Philadelphia,Jun,1.69,core-utilization,>= 1.6x,5
Atlanta -> Philadelphia,Jul,0.94,core-utilization,0.7x-1.0x,2
Atlanta -> Philadelphia,Aug,0.84,core-utilization,0.7x-1.0x,2
Atlanta -> Philadelphia,Sep,0.75,core-utilization,0.7x-1.0x,2
Atlanta -> Philadelphia,Oct,1.59,core-utilization,1.3x-1.6x,4
Atlanta -> Philadelphia,Nov,1.12,core-utilization,1.0x-1.3x,3
Atlanta -> Philadelphia,Dec,0.56,core-utilization,0.5x-0.7x,1
Atlanta -> Pittsburgh,Jan,0.96,core-utilization,0.7x-1.0x,2
Atlanta -> Pittsburgh,Feb,0.48,core-utilization,< 0.5x,0
Atlanta -> Pittsburgh,Mar,0.48,core-utilization,< 0.5x,0
Atlanta -> Pittsburgh,Apr,0.24,core-utilization,< 0.5x,0
Atlanta -> Pittsburgh,May,0.72,core-utilization,0.7x-1.0x,2
