AircraftType,corridor,month,density_pct,cluster_label,slab,intensity
Light Jet,Atlanta -> Dallas,Jan,9.34,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Dallas,Feb,7.45,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> Dallas,Mar,9.2,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Dallas,Apr,12.26,winter-spring-peak,12%-15%,4
Light Jet,Atlanta -> Dallas,May,7.74,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> Dallas,Jun,6.42,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> Dallas,Jul,4.53,winter-spring-peak,4%-6%,1
Light Jet,Atlanta -> Dallas,Aug,4.67,winter-spring-peak,4%-6%,1
Light Jet,Atlanta -> Dallas,Sep,9.2,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Dallas,Oct,8.76,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> Dallas,Nov,11.09,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Dallas,Dec,9.34,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Houston,Jan,10.12,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Houston,Feb,8.9,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> Houston,Mar,9.2,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Houston,Apr,10.43,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Houston,May,9.2,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Houston,Jun,8.28,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> Houston,Jul,6.13,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> Houston,Aug,5.83,winter-spring-peak,4%-6%,1
Light Jet,Atlanta -> Houston,Sep,4.91,winter-spring-peak,4%-6%,1
Light Jet,Atlanta -> Houston,Oct,9.2,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Houston,Nov,9.51,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> Houston,Dec,8.28,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> South Florida,Jan,11.29,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> South Florida,Feb,8.56,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> South Florida,Mar,10.17,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> South Florida,Apr,9.93,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> South Florida,May,7.32,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> South Florida,Jun,6.2,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> South Florida,Jul,6.82,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> South Florida,Aug,6.82,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> South Florida,Sep,5.58,winter-spring-peak,4%-6%,1
Light Jet,Atlanta -> South Florida,Oct,8.19,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> South Florida,Nov,9.31,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> South Florida,Dec,9.8,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> St. Louis,Jan,8.95,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> St. Louis,Feb,9.34,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> St. Louis,Mar,8.95,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> St. Louis,Apr,10.89,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> St. Louis,May,10.51,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> St. Louis,Jun,7.78,winter-spring-peak,6%-9%,2
Light Jet,Atlanta -> St. Louis,Jul,3.11,winter-spring-peak,< 4%,0
Light Jet,Atlanta -> St. Louis,Aug,5.06,winter-spring-peak,4%-6%,1
Light Jet,Atlanta -> St. Louis,Sep,5.45,winter-spring-peak,4%-6%,1
Light Jet,Atlanta -> St. Louis,Oct,9.73,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> St. Louis,Nov,9.34,winter-spring-peak,9%-12%,3
Light Jet,Atlanta -> St. Louis,Dec,10.89,winter-spring-peak,9%-12%,3
Light Jet,Bay Area -> Houston,Jan,13.33,winter-spring-peak,12%-15%,4
Light Jet,Bay Area -> Houston,Feb,8.89,winter-spring-peak,6%-9%,2
Light Jet,Bay Area -> Houston,Mar,11.11,winter-spring-peak,9%-12%,3
Light Jet,Bay Area -> Houston,Apr,2.22,winter-spring-peak,< 4%,0
Light Jet,Bay Area -> Houston,May,4.44,winter-spring-peak,4%-6%,1
Light Jet,Bay Area -> Houston,Jun,4.44,winter-spring-peak,4%-6%,1
Light Jet,Bay Area -> Houston,Jul,8.89,winter-spring-peak,6%-9%,2
Light Jet,Bay Area -> Houston,Aug,6.67,winter-spring-peak,6%-9%,2
Light Jet,Bay Area -> Houston,Sep,2.22,winter-spring-peak,< 4%,0
Light Jet,Bay Area -> Houston,Oct,13.33,winter-spring-peak,12%-15%,4
Light Jet,Bay Area -> Houston,Nov,20.0,winter-spring-peak,> 15%,5
Light Jet,Bay Area -> Houston,Dec,4.44,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> Atlanta,Jan,17.65,winter-spring-peak,> 15%,5
Light Jet,Charlotte -> Atlanta,Feb,5.88,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> Atlanta,Mar,5.88,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> Atlanta,Apr,11.76,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> Atlanta,May,8.82,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> Atlanta,Jun,2.94,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> Atlanta,Jul,5.88,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> Atlanta,Aug,0.0,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> Atlanta,Sep,5.88,winter-spring-peak,4%-6%,1
