AircraftType,corridor,month,seasonality_index,cluster_label,slab,intensity
Light Jet,Atlanta -> Boston,Jan,0.46,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Boston,Feb,0.26,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Boston,Mar,0.41,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Boston,Apr,1.03,core-utilization,1.0x-1.3x,3
Light Jet,Atlanta -> Boston,May,0.97,core-utilization,0.7x-1.0x,2
Light Jet,Atlanta -> Boston,Jun,1.79,core-utilization,>= 1.6x,5
Light Jet,Atlanta -> Boston,Jul,1.44,core-utilization,1.3x-1.6x,4
Light Jet,Atlanta -> Boston,Aug,1.54,core-utilization,1.3x-1.6x,4
Light Jet,Atlanta -> Boston,Sep,1.28,core-utilization,1.0x-1.3x,3
Light Jet,Atlanta -> Boston,Oct,1.28,core-utilization,1.0x-1.3x,3
Light Jet,Atlanta -> Boston,Nov,1.18,core-utilization,1.0x-1.3x,3
Light Jet,Atlanta -> Boston,Dec,0.36,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Philadelphia,Jan,0.66,core-utilization,0.5x-0.7x,1
Light Jet,Atlanta -> Philadelphia,Feb,0.56,core-utilization,0.5x-0.7x,1
Light Jet,Atlanta -> Philadelphia,Mar,1.31,core-utilization,1.3x-1.6x,4
Light Jet,Atlanta -> Philadelphia,Apr,1.03,core-utilization,1.0x-1.3x,3
Light Jet,Atlanta -> Philadelphia,May,0.94,core-utilization,0.7x-1.0x,2
Light Jet,Atlanta -> Philadelphia,Jun,1.69,core-utilization,>= 1.6x,5
Light Jet,Atlanta -> Philadelphia,Jul,0.94,core-utilization,0.7x-1.0x,2
Light Jet,Atlanta -> Philadelphia,Aug,0.84,core-utilization,0.7x-1.0x,2
Light Jet,Atlanta -> Philadelphia,Sep,0.75,core-utilization,0.7x-1.0x,2
Light Jet,Atlanta -> Philadelphia,Oct,1.59,core-utilization,1.3x-1.6x,4
Light Jet,Atlanta -> Philadelphia,Nov,1.12,core-utilization,1.0x-1.3x,3
Light Jet,Atlanta -> Philadelphia,Dec,0.56,core-utilization,0.5x-0.7x,1
Light Jet,Atlanta -> Pittsburgh,Jan,0.96,core-utilization,0.7x-1.0x,2
Light Jet,Atlanta -> Pittsburgh,Feb,0.48,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Pittsburgh,Mar,0.48,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Pittsburgh,Apr,0.24,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Pittsburgh,May,0.72,core-utilization,0.7x-1.0x,2
Light Jet,Atlanta -> Pittsburgh,Jun,2.4,core-utilization,>= 1.6x,5
Light Jet,Atlanta -> Pittsburgh,Jul,0.48,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Pittsburgh,Aug,1.2,core-utilization,1.0x-1.3x,3
Light Jet,Atlanta -> Pittsburgh,Sep,1.2,core-utilization,1.0x-1.3x,3
Light Jet,Atlanta -> Pittsburgh,Oct,2.16,core-utilization,>= 1.6x,5
Light Jet,Atlanta -> Pittsburgh,Nov,0.48,core-utilization,< 0.5x,0
Light Jet,Atlanta -> Pittsburgh,Dec,1.2,core-utilization,1.0x-1.3x,3
Light Jet,Bay Area -> Chicago,Jan,0.29,core-utilization,< 0.5x,0
