cluster_label,rank,corridor,peak_month,peak_density_pct,avg_density_pct,avg_seasonality_idx,months_above_avg,peak_slab,peak_intensity
winter-spring-peak,1,Phoenix Valley -> South Florida,Jan,32.61,8.33,0.9999,4,> 15%,5
winter-spring-peak,2,LA Basin -> North Florida,Feb,32.0,8.33,1.0,3,> 15%,5
winter-spring-peak,3,LA Basin -> South Florida,Apr,25.93,8.33,0.9999,5,> 15%,5
winter-spring-peak,4,Nashville -> St. Louis,Nov,25.93,8.33,0.9998,5,> 15%,5
winter-spring-peak,5,San Antonio -> Dallas,Jun,21.05,8.33,0.9999,5,> 15%,5
winter-spring-peak,6,Dallas -> San Antonio,Nov,20.97,8.33,1.0,4,> 15%,5
winter-spring-peak,7,Charlotte -> Atlanta,Dec,20.59,8.33,0.9998,5,> 15%,5
winter-spring-peak,8,Bay Area -> Houston,Nov,20.0,8.33,0.9998,6,> 15%,5
winter-spring-peak,9,North Florida -> Atlanta,May,20.0,8.33,1.0,4,> 15%,5
winter-spring-peak,10,LA Basin -> Bay Area,Mar,19.75,8.33,1.0,5,> 15%,5
winter-spring-peak,11,Phoenix Valley -> North Florida,Feb,18.75,8.33,0.9997,6,> 15%,5
winter-spring-peak,12,Charlotte -> North Florida,Feb,17.24,8.33,1.0,4,> 15%,5
summer-peak,1,Philadelphia -> Denver,Jul,34.78,8.33,1.0001,6,> 15%,5
summer-peak,2,Detroit -> DMV,Jul,34.62,8.33,1.0001,4,> 15%,5
summer-peak,3,DMV -> Detroit,Jul,33.33,8.33,0.9999,5,> 15%,5
summer-peak,4,Denver -> Boston,Jul,25.0,8.33,1.0002,5,> 15%,5
summer-peak,5,Pittsburgh -> Boston,Aug,24.64,8.33,1.0001,5,> 15%,5
summer-peak,6,Seattle -> Detroit,Sep,24.0,8.33,1.0,4,> 15%,5
summer-peak,7,Atlanta -> Phoenix Valley,Jul,23.53,8.33,0.9998,7,> 15%,5
summer-peak,8,Nashville -> Detroit,Aug,22.58,8.33,1.0001,5,> 15%,5
summer-peak,9,Minneapolis -> Pittsburgh,Jul,22.55,8.33,0.9999,5,> 15%,5
summer-peak,10,Detroit -> New York City,Jul,20.97,8.33,1.0001,6,> 15%,5
summer-peak,11,Nashville -> Charlotte,Sep,20.59,8.33,0.9999,5,> 15%,5
summer-peak,12,Dallas -> Houston,Jul,20.41,8.33,0.9998,5,> 15%,5
core-utilization,1,Seattle -> Atlanta,Sep,28.57,8.33,0.9999,4,> 15%,5
core-utilization,2,Charlotte -> Philadelphia,Jun,26.47,8.33,0.9999,4,> 15%,5
core-utilization,3,New York City -> Boston,Jun,26.09,8.33,1.0001,6,> 15%,5
core-utilization,4,New York City -> San Antonio,Oct,21.95,8.33,1.0001,6,> 15%,5
core-utilization,5,DMV -> Boston,Oct,21.62,8.33,1.0,6,> 15%,5
core-utilization,6,Pittsburgh -> New York City,Oct,21.43,8.33,0.9999,6,> 15%,5
core-utilization,7,Charlotte -> Pittsburgh,Apr,20.69,8.33,1.0,5,> 15%,5
core-utilization,8,St. Louis -> Bay Area,Aug,20.34,8.33,0.9997,8,> 15%,5
core-utilization,9,Atlanta -> Pittsburgh,Jun,20.0,8.33,1.0,5,> 15%,5
core-utilization,10,Houston -> Bay Area,Nov,20.0,8.33,1.0,3,> 15%,5
core-utilization,11,San Antonio -> Pittsburgh,Aug,20.0,8.33,0.9999,5,> 15%,5
core-utilization,12,Houston -> Boston,Jun,19.67,8.34,1.0002,5,> 15%,5
multi-peak-directional,1,Pittsburgh -> San Antonio,Aug,25.0,8.33,1.0001,3,> 15%,5
multi-peak-directional,2,Pittsburgh -> Charlotte,Apr,24.14,8.33,1.0001,4,> 15%,5
multi-peak-directional,3,Dallas -> Philadelphia,Dec,23.64,8.33,1.0001,7,> 15%,5
multi-peak-directional,4,Philadelphia -> Houston,Aug,23.33,8.33,0.9999,4,> 15%,5
multi-peak-directional,5,Nashville -> Phoenix Valley,Oct,22.81,8.33,0.9999,4,> 15%,5
multi-peak-directional,6,Philadelphia -> Dallas,Dec,21.67,8.33,1.0,4,> 15%,5
multi-peak-directional,7,San Antonio -> Charlotte,Apr,21.62,8.33,1.0001,4,> 15%,5
multi-peak-directional,8,LA Basin -> Nashville,Oct,20.97,8.33,1.0001,5,> 15%,5
multi-peak-directional,9,Denver -> Philadelphia,Sep,20.45,8.34,1.0002,5,> 15%,5
multi-peak-directional,10,St. Louis -> Atlanta,Apr,19.81,8.33,0.9999,4,> 15%,5
multi-peak-directional,11,Philadelphia -> Nashville,May,19.44,8.33,1.0001,5,> 15%,5
multi-peak-directional,12,San Antonio -> DMV,Apr,19.35,8.33,0.9999,4,> 15%,5
