rank,w_TI,w_SI,w_LI,lift,spearman,top_decile_rph,verdict
1,0.45,0.55,0.0,1.0711089364269941,0.08765378702838353,7472.084504640088,WINNER (Fallback ≥ 0.027)
2,0.4,0.6,0.0,1.07107865867163,0.08774137989198713,7471.8732862112265,Low Corr
3,0.35,0.65,0.0,1.0678477681443344,0.08909967187147685,7449.33450773205,Low Corr
4,0.4,0.5,0.1,1.066960752429315,0.07343397170183961,7443.146662449312,Low Corr
5,0.45,0.5,0.05,1.0663478978879621,0.06909294011817597,7438.871372825348,Low Corr
6,0.4,0.55,0.05,1.0658358495321767,0.07651369445852695,7435.299309840183,Low Corr
7,0.5,0.5,0.0,1.0657971970848732,0.08350842941740455,7435.029669337018,Low Corr
8,0.7,0.3,0.0,1.065735516437284,0.06637115950446287,7434.5993834945475,Low Corr
9,0.25,0.75,0.0,1.0657353830259275,0.08933582636250709,7434.598452813367,Low Corr
10,0.3,0.7,0.0,1.0654035056074778,0.08946933383836687,7432.283267091819,Low Corr
11,0.35,0.6,0.05,1.0652816189924077,0.07618730378403603,7431.432982814641,Low Corr
12,0.65,0.35,0.0,1.0651308691973818,0.06645322730516685,7430.381348224374,Low Corr
13,0.0,1.0,0.0,1.0647143182252539,0.07936130408525699,7427.47547753431,Low Corr
14,0.2,0.8,0.0,1.0646078294066095,0.08881419558067608,7426.732608695624,Low Corr
15,0.6,0.4,0.0,1.0645531290750787,0.07950062652354344,7426.351017724127,Low Corr
16,0.45,0.45,0.1,1.0638512830224927,0.06886987164350841,7421.454920944592,Low Corr
17,0.55,0.45,0.0,1.063398344483225,0.08119620353711479,7418.295209615783,Low Corr
18,0.05,0.95,0.0,1.0631463493103643,0.08893315636425188,7416.53728456975,Low Corr
19,0.25,0.7,0.05,1.062277667135677,0.07855945475094434,7410.477334553283,Low Corr
20,0.5,0.4,0.1,1.0621825770545739,0.06736613159404654,7409.813983611663,Low Corr
21,0.5,0.45,0.05,1.0621385354551032,0.07224174019541946,7409.506748239263,Low Corr
22,0.55,0.4,0.05,1.0621025115000626,0.06930086084919408,7409.2554441682205,Low Corr
23,0.2,0.65,0.15,1.06131092818317,0.06615980499966516,7403.733337839788,Low Corr
24,0.35,0.45,0.2,1.061281262465625,0.05772537565363475,7403.526389003073,Low Corr
25,0.1,0.8,0.1,1.0611654058137736,0.0662016104088579,7402.718169910116,Low Corr
