cluster_label,corridor,month,density_pct,seasonality_index,slab,intensity
winter-spring-peak,Atlanta -> Dallas,Jan,9.3,1.116,9%-12%,3
winter-spring-peak,Atlanta -> Dallas,Feb,11.63,1.3956,9%-12%,3
winter-spring-peak,Atlanta -> Dallas,Mar,9.3,1.116,9%-12%,3
winter-spring-peak,Atlanta -> Dallas,Apr,18.6,2.232,> 15%,5
winter-spring-peak,Atlanta -> Dallas,May,20.93,2.5116,> 15%,5
winter-spring-peak,Atlanta -> Dallas,Jun,0.0,0.0,< 4%,0
winter-spring-peak,Atlanta -> Dallas,Jul,2.33,0.2796,< 4%,0
winter-spring-peak,Atlanta -> Dallas,Aug,2.33,0.2796,< 4%,0
winter-spring-peak,Atlanta -> Dallas,Sep,2.33,0.2796,< 4%,0
winter-spring-peak,Atlanta -> Dallas,Oct,4.65,0.558,4%-6%,1
winter-spring-peak,Atlanta -> Dallas,Nov,9.3,1.116,9%-12%,3
winter-spring-peak,Atlanta -> Dallas,Dec,9.3,1.116,9%-12%,3
winter-spring-peak,Atlanta -> San Antonio,Jan,18.95,2.274,> 15%,5
winter-spring-peak,Atlanta -> San Antonio,Feb,8.42,1.0104,6%-9%,2
winter-spring-peak,Atlanta -> San Antonio,Mar,10.53,1.2636,9%-12%,3
winter-spring-peak,Atlanta -> San Antonio,Apr,23.16,2.7792,> 15%,5
winter-spring-peak,Atlanta -> San Antonio,May,7.37,0.8844,6%-9%,2
winter-spring-peak,Atlanta -> San Antonio,Jun,0.0,0.0,< 4%,0
winter-spring-peak,Atlanta -> San Antonio,Jul,1.05,0.126,< 4%,0
winter-spring-peak,Atlanta -> San Antonio,Aug,3.16,0.3792,< 4%,0
winter-spring-peak,Atlanta -> San Antonio,Sep,7.37,0.8844,6%-9%,2
winter-spring-peak,Atlanta -> San Antonio,Oct,3.16,0.3792,< 4%,0
winter-spring-peak,Atlanta -> San Antonio,Nov,12.63,1.5156,12%-15%,4
winter-spring-peak,Atlanta -> San Antonio,Dec,4.21,0.5052,4%-6%,1
winter-spring-peak,Bay Area -> South Florida,Jan,11.34,1.3608,9%-12%,3
winter-spring-peak,Bay Area -> South Florida,Feb,9.99,1.1988,9%-12%,3
winter-spring-peak,Bay Area -> South Florida,Mar,9.16,1.0992,9%-12%,3
winter-spring-peak,Bay Area -> South Florida,Apr,8.32,0.9984,6%-9%,2
winter-spring-peak,Bay Area -> South Florida,May,6.45,0.774,6%-9%,2
winter-spring-peak,Bay Area -> South Florida,Jun,5.2,0.624,4%-6%,1
winter-spring-peak,Bay Area -> South Florida,Jul,4.79,0.5748,4%-6%,1
winter-spring-peak,Bay Area -> South Florida,Aug,6.24,0.7488,6%-9%,2
winter-spring-peak,Bay Area -> South Florida,Sep,5.93,0.7116,4%-6%,1
winter-spring-peak,Bay Area -> South Florida,Oct,10.51,1.2612,9%-12%,3
winter-spring-peak,Bay Area -> South Florida,Nov,11.24,1.3488,9%-12%,3
winter-spring-peak,Bay Area -> South Florida,Dec,10.82,1.2984,9%-12%,3
winter-spring-peak,Boston -> South Florida,Jan,10.17,1.2204,9%-12%,3
winter-spring-peak,Boston -> South Florida,Feb,9.44,1.1328,9%-12%,3
winter-spring-peak,Boston -> South Florida,Mar,10.15,1.218,9%-12%,3
winter-spring-peak,Boston -> South Florida,Apr,9.4,1.128,9%-12%,3
winter-spring-peak,Boston -> South Florida,May,6.91,0.8292,6%-9%,2
