corridor,month,density_pct,seasonality_index,cluster_label
Atlanta -> Denver,Apr,6.36,0.7632,core-utilization
Atlanta -> Denver,Aug,8.74,1.0488,core-utilization
Atlanta -> Denver,Dec,10.42,1.2504,core-utilization
Atlanta -> Denver,Feb,9.93,1.1916,core-utilization
Atlanta -> Denver,Jan,7.9,0.948,core-utilization
Atlanta -> Denver,Jul,12.24,1.4688,core-utilization
Atlanta -> Denver,Jun,10.14,1.2168,core-utilization
Atlanta -> Denver,Mar,8.74,1.0488,core-utilization
Atlanta -> Denver,May,5.45,0.654,core-utilization
Atlanta -> Denver,Nov,4.83,0.5796,core-utilization
Atlanta -> Denver,Oct,6.29,0.7548,core-utilization
Atlanta -> Denver,Sep,8.95,1.074,core-utilization
Boston -> Chicago,Apr,9.03,1.0836,core-utilization
Boston -> Chicago,Aug,9.68,1.1616,core-utilization
Boston -> Chicago,Dec,6.45,0.774,core-utilization
Boston -> Chicago,Feb,12.26,1.4712,core-utilization
Boston -> Chicago,Jan,6.45,0.774,core-utilization
Boston -> Chicago,Jul,14.19,1.7028,core-utilization
Boston -> Chicago,Jun,10.32,1.2384,core-utilization
Boston -> Chicago,Mar,5.16,0.6192,core-utilization
Boston -> Chicago,May,3.87,0.4644,core-utilization
Boston -> Chicago,Nov,10.97,1.3164,core-utilization
Boston -> Chicago,Oct,4.52,0.5424,core-utilization
Boston -> Chicago,Sep,7.1,0.852,core-utilization
Boston -> Denver,Apr,4.46,0.5352,core-utilization
Boston -> Denver,Aug,13.04,1.5648,core-utilization
Boston -> Denver,Dec,9.47,1.1364,core-utilization
Boston -> Denver,Feb,8.85,1.062,core-utilization
Boston -> Denver,Jan,6.66,0.7992,core-utilization
Boston -> Denver,Jul,11.87,1.4244,core-utilization
Boston -> Denver,Jun,9.88,1.1856,core-utilization
Boston -> Denver,Mar,7.48,0.8976,core-utilization
Boston -> Denver,May,5.01,0.6012,core-utilization
Boston -> Denver,Nov,4.46,0.5352,core-utilization
Boston -> Denver,Oct,7.62,0.9144,core-utilization
Boston -> Denver,Sep,11.19,1.3428,core-utilization
Charlotte -> Denver,Apr,5.42,0.6504,core-utilization
Charlotte -> Denver,Aug,10.67,1.2804,core-utilization
Charlotte -> Denver,Dec,13.07,1.5684,core-utilization
Charlotte -> Denver,Feb,10.13,1.2156,core-utilization
Charlotte -> Denver,Jan,7.56,0.9072,core-utilization
Charlotte -> Denver,Jul,8.62,1.0344,core-utilization
Charlotte -> Denver,Jun,10.84,1.3008,core-utilization
