corridor,month,density_pct,cluster_label,slab,intensity
Atlanta -> Denver,Apr,6.36,core-utilization,6%-9%,2
Atlanta -> Denver,Aug,8.74,core-utilization,6%-9%,2
Atlanta -> Denver,Dec,10.42,core-utilization,9%-12%,3
Atlanta -> Denver,Feb,9.93,core-utilization,9%-12%,3
Atlanta -> Denver,Jan,7.9,core-utilization,6%-9%,2
Atlanta -> Denver,Jul,12.24,core-utilization,12%-15%,4
Atlanta -> Denver,Jun,10.14,core-utilization,9%-12%,3
Atlanta -> Denver,Mar,8.74,core-utilization,6%-9%,2
Atlanta -> Denver,May,5.45,core-utilization,4%-6%,1
Atlanta -> Denver,Nov,4.83,core-utilization,4%-6%,1
Atlanta -> Denver,Oct,6.29,core-utilization,6%-9%,2
Atlanta -> Denver,Sep,8.95,core-utilization,6%-9%,2
Boston -> Chicago,Apr,9.03,core-utilization,9%-12%,3
Boston -> Chicago,Aug,9.68,core-utilization,9%-12%,3
Boston -> Chicago,Dec,6.45,core-utilization,6%-9%,2
Boston -> Chicago,Feb,12.26,core-utilization,12%-15%,4
Boston -> Chicago,Jan,6.45,core-utilization,6%-9%,2
Boston -> Chicago,Jul,14.19,core-utilization,12%-15%,4
Boston -> Chicago,Jun,10.32,core-utilization,9%-12%,3
Boston -> Chicago,Mar,5.16,core-utilization,4%-6%,1
Boston -> Chicago,May,3.87,core-utilization,< 4%,0
Boston -> Chicago,Nov,10.97,core-utilization,9%-12%,3
Boston -> Chicago,Oct,4.52,core-utilization,4%-6%,1
Boston -> Chicago,Sep,7.1,core-utilization,6%-9%,2
Boston -> Denver,Apr,4.46,core-utilization,4%-6%,1
Boston -> Denver,Aug,13.04,core-utilization,12%-15%,4
Boston -> Denver,Dec,9.47,core-utilization,9%-12%,3
Boston -> Denver,Feb,8.85,core-utilization,6%-9%,2
Boston -> Denver,Jan,6.66,core-utilization,6%-9%,2
Boston -> Denver,Jul,11.87,core-utilization,9%-12%,3
Boston -> Denver,Jun,9.88,core-utilization,9%-12%,3
Boston -> Denver,Mar,7.48,core-utilization,6%-9%,2
Boston -> Denver,May,5.01,core-utilization,4%-6%,1
Boston -> Denver,Nov,4.46,core-utilization,4%-6%,1
Boston -> Denver,Oct,7.62,core-utilization,6%-9%,2
Boston -> Denver,Sep,11.19,core-utilization,9%-12%,3
Charlotte -> Denver,Apr,5.42,core-utilization,4%-6%,1
Charlotte -> Denver,Aug,10.67,core-utilization,9%-12%,3
Charlotte -> Denver,Dec,13.07,core-utilization,12%-15%,4
Charlotte -> Denver,Feb,10.13,core-utilization,9%-12%,3
Charlotte -> Denver,Jan,7.56,core-utilization,6%-9%,2
Charlotte -> Denver,Jul,8.62,core-utilization,6%-9%,2
Charlotte -> Denver,Jun,10.84,core-utilization,9%-12%,3
Charlotte -> Denver,Mar,8.71,core-utilization,6%-9%,2
Charlotte -> Denver,May,4.71,core-utilization,4%-6%,1
Charlotte -> Denver,Nov,4.27,core-utilization,4%-6%,1
Charlotte -> Denver,Oct,7.73,core-utilization,6%-9%,2
Charlotte -> Denver,Sep,8.27,core-utilization,6%-9%,2
Chicago -> Denver,Apr,4.24,core-utilization,4%-6%,1
Chicago -> Denver,Aug,9.2,core-utilization,9%-12%,3
Chicago -> Denver,Dec,11.21,core-utilization,9%-12%,3
Chicago -> Denver,Feb,13.9,core-utilization,12%-15%,4
Chicago -> Denver,Jan,11.89,core-utilization,9%-12%,3
Chicago -> Denver,Jul,10.03,core-utilization,9%-12%,3
Chicago -> Denver,Jun,8.32,core-utilization,6%-9%,2
Chicago -> Denver,Mar,10.96,core-utilization,9%-12%,3
Chicago -> Denver,May,3.82,core-utilization,< 4%,0
Chicago -> Denver,Nov,4.6,core-utilization,4%-6%,1
Chicago -> Denver,Oct,5.06,core-utilization,4%-6%,1
Chicago -> Denver,Sep,6.77,core-utilization,6%-9%,2
Chicago -> North Florida,Apr,2.22,core-utilization,< 4%,0
Chicago -> North Florida,Aug,15.56,core-utilization,> 15%,5
Chicago -> North Florida,Dec,4.44,core-utilization,4%-6%,1
Chicago -> North Florida,Feb,5.56,core-utilization,4%-6%,1
Chicago -> North Florida,Jan,8.89,core-utilization,6%-9%,2
Chicago -> North Florida,Jul,12.22,core-utilization,12%-15%,4
Chicago -> North Florida,Jun,7.78,core-utilization,6%-9%,2
Chicago -> North Florida,Mar,10.0,core-utilization,9%-12%,3
Chicago -> North Florida,May,11.11,core-utilization,9%-12%,3
Chicago -> North Florida,Nov,13.33,core-utilization,12%-15%,4
Chicago -> North Florida,Oct,4.44,core-utilization,4%-6%,1
Chicago -> North Florida,Sep,4.44,core-utilization,4%-6%,1
DMV -> Denver,Apr,4.56,core-utilization,4%-6%,1
DMV -> Denver,Aug,9.2,core-utilization,9%-12%,3
DMV -> Denver,Dec,11.38,core-utilization,9%-12%,3
DMV -> Denver,Feb,7.94,core-utilization,6%-9%,2
DMV -> Denver,Jan,8.43,core-utilization,6%-9%,2
DMV -> Denver,Jul,10.74,core-utilization,9%-12%,3
DMV -> Denver,Jun,8.64,core-utilization,6%-9%,2
DMV -> Denver,Mar,10.88,core-utilization,9%-12%,3
DMV -> Denver,May,5.69,core-utilization,4%-6%,1
DMV -> Denver,Nov,4.99,core-utilization,4%-6%,1
DMV -> Denver,Oct,7.79,core-utilization,6%-9%,2
DMV -> Denver,Sep,9.76,core-utilization,9%-12%,3
Dallas -> Denver,Apr,3.18,core-utilization,< 4%,0
Dallas -> Denver,Aug,8.3,core-utilization,6%-9%,2
Dallas -> Denver,Dec,17.31,core-utilization,> 15%,5
Dallas -> Denver,Feb,15.37,core-utilization,> 15%,5
Dallas -> Denver,Jan,12.54,core-utilization,12%-15%,4
Dallas -> Denver,Jul,6.18,core-utilization,6%-9%,2
Dallas -> Denver,Jun,6.54,core-utilization,6%-9%,2
Dallas -> Denver,Mar,12.01,core-utilization,12%-15%,4
Dallas -> Denver,May,3.18,core-utilization,< 4%,0
Dallas -> Denver,Nov,3.89,core-utilization,< 4%,0
Dallas -> Denver,Oct,5.65,core-utilization,4%-6%,1
Dallas -> Denver,Sep,5.83,core-utilization,4%-6%,1
Dallas -> Seattle,Apr,6.46,core-utilization,6%-9%,2
Dallas -> Seattle,Aug,10.62,core-utilization,9%-12%,3
Dallas -> Seattle,Dec,8.11,core-utilization,6%-9%,2
Dallas -> Seattle,Feb,7.23,core-utilization,6%-9%,2
Dallas -> Seattle,Jan,6.68,core-utilization,6%-9%,2
Dallas -> Seattle,Jul,11.61,core-utilization,9%-12%,3
Dallas -> Seattle,Jun,8.87,core-utilization,6%-9%,2
Dallas -> Seattle,Mar,8.11,core-utilization,6%-9%,2
Dallas -> Seattle,May,7.56,core-utilization,6%-9%,2
