corridor,month,seasonality_index,cluster_label,slab,intensity
Atlanta -> Denver,Jan,0.95,core-utilization,0.7x-1.0x,2
Atlanta -> Denver,Feb,1.19,core-utilization,1.0x-1.3x,3
Atlanta -> Denver,Mar,1.05,core-utilization,1.0x-1.3x,3
Atlanta -> Denver,Apr,0.76,core-utilization,0.7x-1.0x,2
Atlanta -> Denver,May,0.65,core-utilization,0.5x-0.7x,1
Atlanta -> Denver,Jun,1.22,core-utilization,1.0x-1.3x,3
Atlanta -> Denver,Jul,1.47,core-utilization,1.3x-1.6x,4
Atlanta -> Denver,Aug,1.05,core-utilization,1.0x-1.3x,3
Atlanta -> Denver,Sep,1.07,core-utilization,1.0x-1.3x,3
Atlanta -> Denver,Oct,0.76,core-utilization,0.7x-1.0x,2
Atlanta -> Denver,Nov,0.58,core-utilization,0.5x-0.7x,1
Atlanta -> Denver,Dec,1.25,core-utilization,1.0x-1.3x,3
Boston -> Chicago,Jan,0.77,core-utilization,0.7x-1.0x,2
Boston -> Chicago,Feb,1.47,core-utilization,1.3x-1.6x,4
Boston -> Chicago,Mar,0.62,core-utilization,0.5x-0.7x,1
Boston -> Chicago,Apr,1.08,core-utilization,1.0x-1.3x,3
Boston -> Chicago,May,0.46,core-utilization,< 0.5x,0
Boston -> Chicago,Jun,1.24,core-utilization,1.0x-1.3x,3
Boston -> Chicago,Jul,1.7,core-utilization,>= 1.6x,5
Boston -> Chicago,Aug,1.16,core-utilization,1.0x-1.3x,3
Boston -> Chicago,Sep,0.85,core-utilization,0.7x-1.0x,2
Boston -> Chicago,Oct,0.54,core-utilization,0.5x-0.7x,1
Boston -> Chicago,Nov,1.32,core-utilization,1.3x-1.6x,4
Boston -> Chicago,Dec,0.77,core-utilization,0.7x-1.0x,2
Boston -> Denver,Jan,0.8,core-utilization,0.7x-1.0x,2
Boston -> Denver,Feb,1.06,core-utilization,1.0x-1.3x,3
Boston -> Denver,Mar,0.9,core-utilization,0.7x-1.0x,2
Boston -> Denver,Apr,0.54,core-utilization,0.5x-0.7x,1
Boston -> Denver,May,0.6,core-utilization,0.5x-0.7x,1
Boston -> Denver,Jun,1.19,core-utilization,1.0x-1.3x,3
Boston -> Denver,Jul,1.42,core-utilization,1.3x-1.6x,4
Boston -> Denver,Aug,1.56,core-utilization,1.3x-1.6x,4
Boston -> Denver,Sep,1.34,core-utilization,1.3x-1.6x,4
Boston -> Denver,Oct,0.91,core-utilization,0.7x-1.0x,2
Boston -> Denver,Nov,0.54,core-utilization,0.5x-0.7x,1
Boston -> Denver,Dec,1.14,core-utilization,1.0x-1.3x,3
Charlotte -> Denver,Jan,0.91,core-utilization,0.7x-1.0x,2
Charlotte -> Denver,Feb,1.22,core-utilization,1.0x-1.3x,3
Charlotte -> Denver,Mar,1.05,core-utilization,1.0x-1.3x,3
Charlotte -> Denver,Apr,0.65,core-utilization,0.5x-0.7x,1
Charlotte -> Denver,May,0.57,core-utilization,0.5x-0.7x,1
Charlotte -> Denver,Jun,1.3,core-utilization,1.3x-1.6x,4
Charlotte -> Denver,Jul,1.03,core-utilization,1.0x-1.3x,3
Charlotte -> Denver,Aug,1.28,core-utilization,1.0x-1.3x,3
Charlotte -> Denver,Sep,0.99,core-utilization,0.7x-1.0x,2
Charlotte -> Denver,Oct,0.93,core-utilization,0.7x-1.0x,2
Charlotte -> Denver,Nov,0.51,core-utilization,0.5x-0.7x,1
Charlotte -> Denver,Dec,1.57,core-utilization,1.3x-1.6x,4
Chicago -> Denver,Jan,1.43,core-utilization,1.3x-1.6x,4
Chicago -> Denver,Feb,1.67,core-utilization,>= 1.6x,5
Chicago -> Denver,Mar,1.31,core-utilization,1.3x-1.6x,4
Chicago -> Denver,Apr,0.51,core-utilization,0.5x-0.7x,1
Chicago -> Denver,May,0.46,core-utilization,< 0.5x,0
Chicago -> Denver,Jun,1.0,core-utilization,1.0x-1.3x,3
Chicago -> Denver,Jul,1.2,core-utilization,1.0x-1.3x,3
Chicago -> Denver,Aug,1.1,core-utilization,1.0x-1.3x,3
Chicago -> Denver,Sep,0.81,core-utilization,0.7x-1.0x,2
Chicago -> Denver,Oct,0.61,core-utilization,0.5x-0.7x,1
Chicago -> Denver,Nov,0.55,core-utilization,0.5x-0.7x,1
Chicago -> Denver,Dec,1.35,core-utilization,1.3x-1.6x,4
Chicago -> North Florida,Jan,1.07,core-utilization,1.0x-1.3x,3
Chicago -> North Florida,Feb,0.67,core-utilization,0.5x-0.7x,1
Chicago -> North Florida,Mar,1.2,core-utilization,1.0x-1.3x,3
Chicago -> North Florida,Apr,0.27,core-utilization,< 0.5x,0
Chicago -> North Florida,May,1.33,core-utilization,1.3x-1.6x,4
Chicago -> North Florida,Jun,0.93,core-utilization,0.7x-1.0x,2
Chicago -> North Florida,Jul,1.47,core-utilization,1.3x-1.6x,4
Chicago -> North Florida,Aug,1.87,core-utilization,>= 1.6x,5
Chicago -> North Florida,Sep,0.53,core-utilization,0.5x-0.7x,1
Chicago -> North Florida,Oct,0.53,core-utilization,0.5x-0.7x,1
Chicago -> North Florida,Nov,1.6,core-utilization,>= 1.6x,5
Chicago -> North Florida,Dec,0.53,core-utilization,0.5x-0.7x,1
DMV -> Denver,Jan,1.01,core-utilization,1.0x-1.3x,3
DMV -> Denver,Feb,0.95,core-utilization,0.7x-1.0x,2
DMV -> Denver,Mar,1.31,core-utilization,1.3x-1.6x,4
DMV -> Denver,Apr,0.55,core-utilization,0.5x-0.7x,1
DMV -> Denver,May,0.68,core-utilization,0.5x-0.7x,1
DMV -> Denver,Jun,1.04,core-utilization,1.0x-1.3x,3
DMV -> Denver,Jul,1.29,core-utilization,1.0x-1.3x,3
DMV -> Denver,Aug,1.1,core-utilization,1.0x-1.3x,3
DMV -> Denver,Sep,1.17,core-utilization,1.0x-1.3x,3
DMV -> Denver,Oct,0.94,core-utilization,0.7x-1.0x,2
DMV -> Denver,Nov,0.6,core-utilization,0.5x-0.7x,1
DMV -> Denver,Dec,1.37,core-utilization,1.3x-1.6x,4
Dallas -> Denver,Jan,1.51,core-utilization,1.3x-1.6x,4
Dallas -> Denver,Feb,1.84,core-utilization,>= 1.6x,5
Dallas -> Denver,Mar,1.44,core-utilization,1.3x-1.6x,4
Dallas -> Denver,Apr,0.38,core-utilization,< 0.5x,0
Dallas -> Denver,May,0.38,core-utilization,< 0.5x,0
Dallas -> Denver,Jun,0.78,core-utilization,0.7x-1.0x,2
Dallas -> Denver,Jul,0.74,core-utilization,0.7x-1.0x,2
Dallas -> Denver,Aug,1.0,core-utilization,1.0x-1.3x,3
Dallas -> Denver,Sep,0.7,core-utilization,0.7x-1.0x,2
Dallas -> Denver,Oct,0.68,core-utilization,0.5x-0.7x,1
Dallas -> Denver,Nov,0.47,core-utilization,< 0.5x,0
Dallas -> Denver,Dec,2.08,core-utilization,>= 1.6x,5
Dallas -> Seattle,Jan,0.8,core-utilization,0.7x-1.0x,2
Dallas -> Seattle,Feb,0.87,core-utilization,0.7x-1.0x,2
Dallas -> Seattle,Mar,0.97,core-utilization,0.7x-1.0x,2
Dallas -> Seattle,Apr,0.78,core-utilization,0.7x-1.0x,2
Dallas -> Seattle,May,0.91,core-utilization,0.7x-1.0x,2
Dallas -> Seattle,Jun,1.06,core-utilization,1.0x-1.3x,3
Dallas -> Seattle,Jul,1.39,core-utilization,1.3x-1.6x,4
Dallas -> Seattle,Aug,1.27,core-utilization,1.0x-1.3x,3
Dallas -> Seattle,Sep,1.09,core-utilization,1.0x-1.3x,3
Dallas -> Seattle,Oct,0.96,core-utilization,0.7x-1.0x,2
Dallas -> Seattle,Nov,0.92,core-utilization,0.7x-1.0x,2
Dallas -> Seattle,Dec,0.97,core-utilization,0.7x-1.0x,2
Denver -> Atlanta,Jan,0.91,core-utilization,0.7x-1.0x,2
Denver -> Atlanta,Feb,0.85,core-utilization,0.7x-1.0x,2
Denver -> Atlanta,Mar,0.98,core-utilization,0.7x-1.0x,2
Denver -> Atlanta,Apr,0.73,core-utilization,0.7x-1.0x,2
Denver -> Atlanta,May,0.46,core-utilization,< 0.5x,0
Denver -> Atlanta,Jun,1.11,core-utilization,1.0x-1.3x,3
Denver -> Atlanta,Jul,1.74,core-utilization,>= 1.6x,5
Denver -> Atlanta,Aug,1.63,core-utilization,>= 1.6x,5
Denver -> Atlanta,Sep,1.28,core-utilization,1.0x-1.3x,3
Denver -> Atlanta,Oct,0.8,core-utilization,0.7x-1.0x,2
Denver -> Atlanta,Nov,0.57,core-utilization,0.5x-0.7x,1
Denver -> Atlanta,Dec,0.94,core-utilization,0.7x-1.0x,2
Denver -> Boston,Jan,0.86,core-utilization,0.7x-1.0x,2
Denver -> Boston,Feb,1.07,core-utilization,1.0x-1.3x,3
Denver -> Boston,Mar,1.07,core-utilization,1.0x-1.3x,3
Denver -> Boston,Apr,0.66,core-utilization,0.5x-0.7x,1
Denver -> Boston,May,0.67,core-utilization,0.5x-0.7x,1
Denver -> Boston,Jun,1.18,core-utilization,1.0x-1.3x,3
Denver -> Boston,Jul,1.61,core-utilization,>= 1.6x,5
Denver -> Boston,Aug,1.53,core-utilization,1.3x-1.6x,4
Denver -> Boston,Sep,1.24,core-utilization,1.0x-1.3x,3
Denver -> Boston,Oct,0.9,core-utilization,0.7x-1.0x,2
Denver -> Boston,Nov,0.54,core-utilization,0.5x-0.7x,1
Denver -> Boston,Dec,0.68,core-utilization,0.5x-0.7x,1
Denver -> Charlotte,Jan,1.24,core-utilization,1.0x-1.3x,3
Denver -> Charlotte,Feb,1.17,core-utilization,1.0x-1.3x,3
Denver -> Charlotte,Mar,1.02,core-utilization,1.0x-1.3x,3
Denver -> Charlotte,Apr,0.58,core-utilization,0.5x-0.7x,1
Denver -> Charlotte,May,0.58,core-utilization,0.5x-0.7x,1
Denver -> Charlotte,Jun,0.98,core-utilization,0.7x-1.0x,2
Denver -> Charlotte,Jul,1.15,core-utilization,1.0x-1.3x,3
Denver -> Charlotte,Aug,1.56,core-utilization,1.3x-1.6x,4
