cluster_label,corridor,month,density_pct,seasonality_index,slab,intensity
core-utilization,Atlanta -> Boston,Jan,0.038461538461538464,0.0046,< 4%,0.0
multi-peak-directional,Atlanta -> Chicago,Jan,0.07920792079207921,0.0095,6% - 9%,2.0
multi-peak-directional,Atlanta -> DMV,Jan,0.0625,0.0075,6% - 9%,2.0
winter-spring-peak,Atlanta -> Dallas,Jan,0.09343065693430656,0.0112,9% - 12%,3.0
multi-peak-directional,Atlanta -> Denver,Jan,0.07352941176470588,0.0088,6% - 9%,2.0
summer-peak,Atlanta -> Detroit,Jan,0.043010752688172046,0.0052,4% - 6%,1.0
winter-spring-peak,Atlanta -> Houston,Jan,0.10122699386503067,0.0121,9% - 12%,3.0
multi-peak-directional,Atlanta -> Minneapolis,Jan,0.06589147286821706,0.0079,6% - 9%,2.0
multi-peak-directional,Atlanta -> New York City,Jan,0.05198776758409786,0.0062,4% - 6%,1.0
multi-peak-directional,Atlanta -> North Florida,Jan,0.046511627906976744,0.0056,4% - 6%,1.0
core-utilization,Atlanta -> Philadelphia,Jan,0.0546875,0.0066,4% - 6%,1.0
summer-peak,Atlanta -> Phoenix Valley,Jan,0.14705882352941177,0.0176,12% - 15%,4.0
core-utilization,Atlanta -> Pittsburgh,Jan,0.08,0.0096,6% - 9%,2.0
multi-peak-directional,Atlanta -> San Antonio,Jan,0.04924242424242424,0.0059,4% - 6%,1.0
winter-spring-peak,Atlanta -> South Florida,Jan,0.11290322580645161,0.0135,9% - 12%,3.0
winter-spring-peak,Atlanta -> St. Louis,Jan,0.08949416342412451,0.0107,6% - 9%,2.0
core-utilization,Bay Area -> Chicago,Jan,0.023809523809523808,0.0029,< 4%,0.0
multi-peak-directional,Bay Area -> Dallas,Jan,0.08860759493670886,0.0106,6% - 9%,2.0
summer-peak,Bay Area -> Denver,Jan,0.08787346221441125,0.0105,6% - 9%,2.0
winter-spring-peak,Bay Area -> Houston,Jan,0.13333333333333333,0.016,12% - 15%,4.0
multi-peak-directional,Bay Area -> LA Basin,Jan,0.05357142857142857,0.0064,4% - 6%,1.0
core-utilization,Bay Area -> Minneapolis,Jan,0.10891089108910891,0.0131,9% - 12%,3.0
multi-peak-directional,Bay Area -> Phoenix Valley,Jan,0.06403940886699508,0.0077,6% - 9%,2.0
multi-peak-directional,Bay Area -> San Antonio,Jan,0.11538461538461539,0.0138,9% - 12%,3.0
multi-peak-directional,Bay Area -> Seattle,Jan,0.07345575959933222,0.0088,6% - 9%,2.0
core-utilization,Bay Area -> St. Louis,Jan,0.060240963855421686,0.0072,6% - 9%,2.0
core-utilization,Boston -> Atlanta,Jan,0.029914529914529916,0.0036,< 4%,0.0
core-utilization,Boston -> Charlotte,Jan,0.03592814371257485,0.0043,< 4%,0.0
core-utilization,Boston -> Chicago,Jan,0.035580524344569285,0.0043,< 4%,0.0
summer-peak,Boston -> DMV,Jan,0.08620689655172414,0.0103,6% - 9%,2.0
core-utilization,Boston -> Dallas,Jan,0.043478260869565216,0.0052,4% - 6%,1.0
multi-peak-directional,Boston -> Denver,Jan,0.09375,0.0112,9% - 12%,3.0
summer-peak,Boston -> Detroit,Jan,0.0513595166163142,0.0062,4% - 6%,1.0
core-utilization,Boston -> Houston,Jan,0.10638297872340426,0.0128,9% - 12%,3.0
summer-peak,Boston -> Minneapolis,Jan,0.08270676691729323,0.0099,6% - 9%,2.0
summer-peak,Boston -> Nashville,Jan,0.028985507246376812,0.0035,< 4%,0.0
multi-peak-directional,Boston -> North Florida,Jan,0.06827309236947791,0.0082,6% - 9%,2.0
summer-peak,Boston -> Pittsburgh,Jan,0.044444444444444446,0.0053,4% - 6%,1.0
multi-peak-directional,Boston -> South Florida,Jan,0.08093278463648834,0.0097,6% - 9%,2.0
core-utilization,Boston -> St. Louis,Jan,0.06,0.0072,4% - 6%,1.0
winter-spring-peak,Charlotte -> Atlanta,Jan,0.17647058823529413,0.0212,> 15%,5.0
summer-peak,Charlotte -> Boston,Jan,0.04358974358974359,0.0052,4% - 6%,1.0
multi-peak-directional,Charlotte -> Chicago,Jan,0.03504043126684636,0.0042,< 4%,0.0
multi-peak-directional,Charlotte -> Dallas,Jan,0.036414565826330535,0.0044,< 4%,0.0
summer-peak,Charlotte -> Denver,Jan,0.0547945205479452,0.0066,4% - 6%,1.0
core-utilization,Charlotte -> Detroit,Jan,0.02857142857142857,0.0034,< 4%,0.0
multi-peak-directional,Charlotte -> Houston,Jan,0.0711864406779661,0.0085,6% - 9%,2.0
core-utilization,Charlotte -> Minneapolis,Jan,0.06306306306306306,0.0076,6% - 9%,2.0
winter-spring-peak,Charlotte -> Nashville,Jan,0.10483870967741936,0.0126,9% - 12%,3.0
core-utilization,Charlotte -> New York City,Jan,0.047038327526132406,0.0056,4% - 6%,1.0
winter-spring-peak,Charlotte -> North Florida,Jan,0.13793103448275862,0.0166,12% - 15%,4.0
core-utilization,Charlotte -> Philadelphia,Jan,0.0,0.0,,
core-utilization,Charlotte -> Pittsburgh,Jan,0.0,0.0,,
multi-peak-directional,Charlotte -> San Antonio,Jan,0.08163265306122448,0.0098,6% - 9%,2.0
winter-spring-peak,Charlotte -> South Florida,Jan,0.09653233364573571,0.0116,9% - 12%,3.0
multi-peak-directional,Charlotte -> St. Louis,Jan,0.04710144927536232,0.0057,4% - 6%,1.0
multi-peak-directional,Chicago -> Atlanta,Jan,0.06190476190476191,0.0074,6% - 9%,2.0
core-utilization,Chicago -> Boston,Jan,0.03875968992248062,0.0047,< 4%,0.0
core-utilization,Chicago -> Charlotte,Jan,0.025423728813559324,0.0031,< 4%,0.0
core-utilization,Chicago -> DMV,Jan,0.03763440860215054,0.0045,< 4%,0.0
multi-peak-directional,Chicago -> Dallas,Jan,0.056485355648535567,0.0068,4% - 6%,1.0
multi-peak-directional,Chicago -> Denver,Jan,0.10010764262648009,0.012,9% - 12%,3.0
